Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Raheem Mostert,MIA,12,85,1,4.0,56,4.7,29,2.4,1,12.0,9.0,2023,124
Salvon Ahmed,MIA,3,4,0,,-1,-0.3,5,1.7,0,,9.0,2023,124
Tua Tagovailoa,MIA,2,7,0,0.0,7,3.5,0,0.0,0,,9.0,2023,124
Jeff Wilson,MIA,2,6,0,1.0,4,2.0,2,1.0,0,,9.0,2023,124
Tyreek Hill,MIA,1,3,0,0.0,0,0.0,3,3.0,0,,9.0,2023,124
Jaylen Waddle,MIA,1,12,0,1.0,12,12.0,0,0.0,0,,9.0,2023,124
Isiah Pacheco,KAN,16,66,0,4.0,40,2.5,26,1.6,0,,9.0,2023,124
Patrick Mahomes,KAN,6,24,0,0.0,19,3.2,5,0.8,0,,9.0,2023,124
Jerick McKinnon,KAN,1,2,0,0.0,2,2.0,0,0.0,0,,9.0,2023,124
La'Mical Perine,KAN,1,1,0,,1,1.0,0,0.0,0,,9.0,2023,124
