Quarter,Time,Tm,Detail,WAS,NWE,week,year,game_id
1.0,3:14,Commanders,Joey Slye 37 yard field goal,3,0,9.0,2023,130
2.0,12:05,Commanders,Brian Robinson Jr. 9 yard rush (Joey Slye kick),10,0,9.0,2023,130
,9:26,Patriots,Hunter Henry 14 yard pass from Mac Jones (Chad Ryland kick),10,7,9.0,2023,130
,6:06,Patriots,Rhamondre Stevenson 64 yard rush (Chad Ryland kick),10,14,9.0,2023,130
3.0,10:14,Patriots,Chad Ryland 43 yard field goal,10,17,9.0,2023,130
,6:51,Commanders,Jahan Dotson 33 yard pass from Sam Howell (Joey Slye kick),17,17,9.0,2023,130
,1:49,Commanders,Joey Slye 30 yard field goal,20,17,9.0,2023,130
