Unnamed: 0,BUF,CIN,week,year,game_id
First Downs,21,23,9.0,2023,135
Rush-Yds-TDs,16-68-1,22-54-1,9.0,2023,135
Cmp-Att-Yd-TD-INT,26-38-258-1-1,31-44-348-2-0,9.0,2023,135
Sacked-Yards,1-9,1-5,9.0,2023,135
Net Pass Yards,249,343,9.0,2023,135
Total Yards,317,397,9.0,2023,135
Fumbles-Lost,1-1,0-0,9.0,2023,135
Turnovers,2,0,9.0,2023,135
Penalties-Yards,5-49,6-49,9.0,2023,135
Third Down Conv.,7-12,8-15,9.0,2023,135
Fourth Down Conv.,0-0,1-2,9.0,2023,135
Time of Possession,23:22,36:38,9.0,2023,135
