Unnamed: 0,MIN,ATL,week,year,game_id
First Downs,23,18,9.0,2023,128
Rush-Yds-TDs,33-146-1,28-110-1,9.0,2023,128
Cmp-Att-Yd-TD-INT,25-36-236-2-0,21-38-268-1-1,9.0,2023,128
Sacked-Yards,4-19,1-8,9.0,2023,128
Net Pass Yards,217,260,9.0,2023,128
Total Yards,363,370,9.0,2023,128
Fumbles-Lost,3-2,1-1,9.0,2023,128
Turnovers,2,2,9.0,2023,128
Penalties-Yards,1-4,8-62,9.0,2023,128
Third Down Conv.,7-16,10-18,9.0,2023,128
Fourth Down Conv.,1-1,0-0,9.0,2023,128
Time of Possession,31:32,28:28,9.0,2023,128
