Quarter,Time,Down,ToGo,Location,LAC,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Chargers to receive the opening kickoff.",,,9.0,2023,136
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler up the middle for 2 yards (tackle by Quinnen Williams),0.61,0.33,9.0,2023,136
1.0,14:26,2.0,8.0,LAC 27,0.0,0.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Sauce Gardner),0.33,-0.36,9.0,2023,136
1.0,14:19,3.0,8.0,LAC 27,0.0,0.0,Justin Herbert pass incomplete short left,-0.36,-1.57,9.0,2023,136
1.0,14:16,4.0,8.0,LAC 27,0.0,0.0,"JK Scott punts 49 yards, returned by Xavier Gipson for no gain (tackle by Deane Leonard and Ja'Sir Taylor)",-1.57,-0.54,9.0,2023,136
1.0,14:06,1.0,10.0,NYJ 24,0.0,0.0,Breece Hall for 4 yards (tackle by Kenneth Murray),0.54,0.54,9.0,2023,136
1.0,13:42,2.0,6.0,NYJ 28,0.0,0.0,Zach Wilson pass incomplete short right intended for C.J. Uzomah,0.54,-0.16,9.0,2023,136
1.0,13:39,3.0,6.0,NYJ 28,0.0,0.0,Zach Wilson pass incomplete short middle intended for Allen Lazard (defended by Alohi Gilman),-0.16,-1.5,9.0,2023,136
1.0,13:35,4.0,6.0,NYJ 28,6.0,0.0,"Thomas Morstead punts 59 yards, returned by Derius Davis for 87 yards, touchdown",-1.5,-7.0,9.0,2023,136
1.0,13:15,,,NYJ 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,9.0,2023,136
1.0,13:15,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 61 yards,",0.0,0.61,9.0,2023,136
1.0,13:15,1.0,10.0,NYJ 25,7.0,0.0,Breece Hall right guard for 6 yards (tackle by Derwin James),0.61,0.87,9.0,2023,136
1.0,12:34,2.0,4.0,NYJ 31,7.0,0.0,Zach Wilson pass incomplete deep right intended for Garrett Wilson,0.87,0.17,9.0,2023,136
1.0,12:27,3.0,4.0,NYJ 31,7.0,0.0,Zach Wilson pass complete short left to Breece Hall for 5 yards (tackle by Derwin James and Khalil Mack),0.17,1.33,9.0,2023,136
1.0,11:46,1.0,10.0,NYJ 36,7.0,0.0,Dalvin Cook up the middle for 4 yards (tackle by Joey Bosa and Eric Kendricks),1.33,1.33,9.0,2023,136
1.0,11:22,2.0,6.0,NYJ 40,7.0,0.0,"Zach Wilson pass complete short middle to Dalvin Cook for 1 yard (tackle by Eric Kendricks). Penalty on Joey Bosa: Roughing the Passer, 15 yards (accepted)",1.33,2.65,9.0,2023,136
1.0,11:02,1.0,10.0,LAC 44,7.0,0.0,"Zach Wilson pass complete short right to Garrett Wilson for 7 yards. Garrett Wilson fumbles (forced by Alohi Gilman), recovered by Derwin James at LAC-29",2.65,-0.87,9.0,2023,136
1.0,10:55,1.0,10.0,LAC 29,7.0,0.0,"Penalty on Trey Pipkins: False Start, 5 yards (accepted) (no play)",0.87,0.54,9.0,2023,136
1.0,10:55,1.0,15.0,LAC 24,7.0,0.0,Justin Herbert pass incomplete short right intended for Austin Ekeler (defended by John Franklin-Myers),0.54,-0.35,9.0,2023,136
1.0,10:48,2.0,15.0,LAC 24,7.0,0.0,"Justin Herbert pass complete short left to Gerald Everett for 1 yard. Gerald Everett fumbles (forced by D.J. Reed), recovered by Derius Davis at LAC-26",-0.35,-0.76,9.0,2023,136
1.0,10:00,3.0,13.0,LAC 26,7.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Michael Carter and C.J. Mosley),-0.76,-0.98,9.0,2023,136
1.0,9:20,4.0,3.0,LAC 36,7.0,0.0,"JK Scott punts 36 yards, fair catch by Xavier Gipson at NYJ-28",-0.98,-0.81,9.0,2023,136
1.0,9:17,1.0,10.0,NYJ 28,7.0,0.0,Breece Hall right tackle for 1 yard (tackle by Tuli Tuipulotu),0.81,0.4,9.0,2023,136
1.0,8:53,2.0,9.0,NYJ 29,7.0,0.0,Zach Wilson pass complete short right to Breece Hall for 3 yards (tackle by Derwin James),0.4,0.1,9.0,2023,136
1.0,8:12,3.0,6.0,NYJ 32,7.0,0.0,Zach Wilson pass complete deep left to Xavier Gipson for 19 yards (tackle by Alohi Gilman),0.1,2.32,9.0,2023,136
1.0,7:41,1.0,10.0,LAC 49,7.0,0.0,Breece Hall up the middle for 4 yards (tackle by Otito Ogbonnia),2.32,2.32,9.0,2023,136
1.0,7:07,2.0,6.0,LAC 45,7.0,0.0,Breece Hall left tackle for 3 yards (tackle by Kenneth Murray and Khalil Mack),2.32,2.02,9.0,2023,136
1.0,6:34,3.0,3.0,LAC 42,7.0,0.0,"Zach Wilson sacked by Joey Bosa for -8 yards. Zach Wilson fumbles (forced by Joey Bosa), recovered by Joey Bosa at 50",2.02,-2.26,9.0,2023,136
1.0,6:27,1.0,10.0,LAC 50,7.0,0.0,Austin Ekeler left tackle for 2 yards (tackle by Quinnen Williams and C.J. Mosley),2.26,1.98,9.0,2023,136
1.0,5:51,2.0,8.0,NYJ 48,7.0,0.0,Austin Ekeler left guard for 2 yards (tackle by Quincy Williams and C.J. Mosley),1.98,1.55,9.0,2023,136
1.0,5:14,3.0,6.0,NYJ 46,7.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 17 yards (tackle by C.J. Mosley),1.55,3.64,9.0,2023,136
1.0,4:25,1.0,10.0,NYJ 29,7.0,0.0,Joshua Kelley up the middle for 4 yards (tackle by Ashtyn Davis and C.J. Mosley),3.64,3.64,9.0,2023,136
1.0,3:51,2.0,6.0,NYJ 25,7.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 4 yards (tackle by Sauce Gardner),3.64,3.47,9.0,2023,136
1.0,3:15,3.0,2.0,NYJ 21,7.0,0.0,Austin Ekeler left end for 20 yards (tackle by D.J. Reed). Penalty on Jordan Whitehead: Face Mask (15 Yards) (accepted),3.47,6.97,9.0,2023,136
1.0,2:58,1.0,1.0,NYJ 1,7.0,0.0,Justin Herbert pass incomplete short middle intended for Donald Parham,6.97,5.91,9.0,2023,136
1.0,2:49,2.0,1.0,NYJ 1,7.0,0.0,Penalty on D.J. Reed: Defensive Offside (accepted) (no play),5.91,5.91,9.0,2023,136
1.0,2:49,2.0,1.0,NYJ 1,13.0,0.0,"Austin Ekeler right tackle for 1 yard, touchdown",5.91,7.0,9.0,2023,136
1.0,2:45,,,NYJ 15,14.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,9.0,2023,136
1.0,2:45,,,LAC 35,14.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
1.0,2:45,1.0,10.0,NYJ 25,14.0,0.0,Zach Wilson pass complete short right to Breece Hall for no gain (tackle by Kenneth Murray),0.61,0.06,9.0,2023,136
1.0,2:02,2.0,10.0,NYJ 25,14.0,0.0,"Breece Hall up the middle for no gain (tackle by Alohi Gilman). Penalty on Allen Lazard: Illegal Shift, 5 yards (accepted) (no play)",0.06,-0.61,9.0,2023,136
1.0,1:32,2.0,15.0,NYJ 20,14.0,0.0,Zach Wilson pass complete short left to C.J. Uzomah for 3 yards (tackle by Ja'Sir Taylor),-0.61,-0.89,9.0,2023,136
1.0,0:52,3.0,12.0,NYJ 23,14.0,0.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson (defended by Michael Davis),-0.89,-1.83,9.0,2023,136
1.0,0:46,4.0,12.0,NYJ 23,14.0,0.0,"Thomas Morstead punts 53 yards, fair catch by Derius Davis at LAC-24",-1.83,-0.54,9.0,2023,136
1.0,0:40,1.0,10.0,LAC 24,14.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 17 yards (tackle by Jordan Whitehead and Bryce Huff),0.54,1.66,9.0,2023,136
2.0,15:00,1.0,10.0,LAC 41,14.0,0.0,Joshua Kelley up the middle for 12 yards (tackle by Jordan Whitehead),1.66,2.46,9.0,2023,136
2.0,14:25,1.0,10.0,NYJ 47,14.0,0.0,Justin Herbert pass complete short middle to Joshua Kelley for 4 yards (tackle by C.J. Mosley),2.46,2.45,9.0,2023,136
2.0,13:42,2.0,6.0,NYJ 43,14.0,0.0,Justin Herbert sacked by and Bryce Huff for -9 yards and Jermaine Johnson for -9 yards,2.45,0.56,9.0,2023,136
2.0,13:03,3.0,15.0,LAC 48,14.0,0.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.56,-0.19,9.0,2023,136
2.0,13:01,4.0,15.0,LAC 48,14.0,0.0,"JK Scott punts 52 yards, touchback.",-0.19,-0.28,9.0,2023,136
2.0,12:53,1.0,10.0,NYJ 20,14.0,0.0,Breece Hall up the middle for no gain (tackle by Khalil Mack),0.28,-0.27,9.0,2023,136
2.0,12:10,2.0,10.0,NYJ 20,14.0,0.0,Zach Wilson pass complete short left to Nick Bawden for 7 yards (tackle by Kenneth Murray),-0.27,-0.03,9.0,2023,136
2.0,11:28,3.0,3.0,NYJ 27,14.0,0.0,"Zach Wilson aborted snap, recovered by Breece Hall at NYJ-27 and returned for -1 yards",-0.03,-1.63,9.0,2023,136
2.0,10:35,4.0,4.0,NYJ 26,14.0,0.0,"Thomas Morstead punts 49 yards, fair catch by Derius Davis at LAC-25",-1.63,-0.61,9.0,2023,136
2.0,10:34,1.0,10.0,LAC 25,14.0,0.0,Austin Ekeler right guard for 1 yard (tackle by Adrian Amos),0.61,0.2,9.0,2023,136
2.0,10:20,2.0,9.0,LAC 26,14.0,0.0,Justin Herbert pass incomplete short left intended for Austin Ekeler,0.2,-0.49,9.0,2023,136
2.0,10:11,3.0,9.0,LAC 26,14.0,0.0,Justin Herbert sacked by John Franklin-Myers for -11 yards,-0.49,-2.44,9.0,2023,136
2.0,9:33,4.0,20.0,LAC 15,14.0,0.0,"JK Scott punts 48 yards, returned by Xavier Gipson for 8 yards (tackle by Amen Ogbongbemiga)",-2.44,-1.93,9.0,2023,136
