Quarter,Time,Down,ToGo,Location,TEN,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,,9.0,2023,123
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 66 yards, returned by Godwin Igwebuike for 23 yards (tackle by Monty Rice)",0.0,0.41,9.0,2023,123
1.0,14:57,1.0,10.0,PIT 22,0.0,0.0,Najee Harris left guard for 4 yards (tackle by Denico Autry),0.41,0.41,9.0,2023,123
1.0,14:18,2.0,6.0,PIT 26,0.0,0.0,Kenny Pickett pass incomplete short right intended for Najee Harris (defended by Denico Autry),0.41,-0.29,9.0,2023,123
1.0,14:13,3.0,6.0,PIT 26,0.0,0.0,Kenny Pickett pass complete short right to Allen Robinson for 10 yards (tackle by Eric Garror),-0.29,1.33,9.0,2023,123
1.0,13:32,1.0,10.0,PIT 36,0.0,0.0,Kenny Pickett pass complete short left to Jaylen Warren for 9 yards (tackle by Amani Hooker),1.33,2.01,9.0,2023,123
1.0,12:55,2.0,1.0,PIT 45,0.0,0.0,Jaylen Warren left tackle for 7 yards (tackle by Azeez Al-Shaair and Jack Gibbens),2.01,2.39,9.0,2023,123
1.0,12:14,1.0,10.0,TEN 48,0.0,0.0,"Kenny Pickett pass complete short right to Connor Heyward for 11 yards (tackle by Azeez Al-Shaair and Sean Murphy-Bunting). Penalty on Denico Autry: Defensive Offside, 5 yards (declined)",2.39,3.12,9.0,2023,123
1.0,11:50,1.0,10.0,TEN 37,0.0,0.0,"Kenny Pickett pass incomplete intended for George Pickens. Penalty on Broderick Jones: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.12,2.79,9.0,2023,123
1.0,11:45,1.0,15.0,TEN 42,0.0,0.0,Kenny Pickett pass incomplete deep left intended for Diontae Johnson,2.79,1.9,9.0,2023,123
1.0,11:41,2.0,15.0,TEN 42,0.0,0.0,Kenny Pickett pass complete short right to Diontae Johnson for 13 yards (tackle by Amani Hooker),1.9,2.94,9.0,2023,123
1.0,10:59,3.0,2.0,TEN 29,0.0,0.0,Kenny Pickett pass complete deep right to Diontae Johnson for 19 yards (tackle by Terrell Edmunds),2.94,4.91,9.0,2023,123
1.0,10:16,1.0,10.0,TEN 10,0.0,6.0,"Najee Harris right tackle for 10 yards, touchdown",4.91,7.0,9.0,2023,123
1.0,10:11,,,TEN 15,0.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,9.0,2023,123
1.0,10:11,,,PIT 35,0.0,7.0,"Chris Boswell kicks off 62 yards, returned by Tyjae Spears for 17 yards (tackle by Mark Robinson). Penalty on Trevon Wesco: Illegal Double-Team Block, 10 yards (accepted)",0.0,-0.38,9.0,2023,123
1.0,10:05,1.0,10.0,TEN 10,0.0,7.0,Derrick Henry left tackle for 1 yard (tackle by Larry Ogunjobi and Cameron Heyward),-0.38,-0.71,9.0,2023,123
1.0,9:30,2.0,9.0,TEN 11,0.0,7.0,"Will Levis pass complete short middle to Derrick Henry for 5 yards (tackle by Cole Holcomb and Elandon Roberts). Penalty on T.J. Watt: Roughing the Passer, 15 yards (accepted)",-0.71,1.0,9.0,2023,123
1.0,9:12,1.0,10.0,TEN 31,0.0,7.0,Derrick Henry up the middle for 4 yards (tackle by Larry Ogunjobi and Cole Holcomb),1.0,1.0,9.0,2023,123
1.0,8:28,2.0,6.0,TEN 35,0.0,7.0,"Will Levis pass incomplete short middle intended for Treylon Burks. Penalty on Patrick Peterson: Illegal Contact, 5 yards (accepted) (no play)",1.0,1.6,9.0,2023,123
1.0,8:23,1.0,10.0,TEN 40,0.0,7.0,Will Levis pass incomplete deep left intended for DeAndre Hopkins,1.6,1.05,9.0,2023,123
1.0,8:18,2.0,10.0,TEN 40,0.0,7.0,Derrick Henry left guard for 1 yard (tackle by Larry Ogunjobi and T.J. Watt),1.05,0.5,9.0,2023,123
1.0,7:36,3.0,9.0,TEN 41,0.0,7.0,Will Levis pass complete short middle to Tyjae Spears for 8 yards (tackle by DeMarvin Leal and Darius Rush),0.5,-0.13,9.0,2023,123
1.0,7:00,4.0,1.0,TEN 49,0.0,7.0,Derrick Henry left tackle for 6 yards (tackle by Keanu Neal),-0.13,2.59,9.0,2023,123
1.0,6:13,1.0,10.0,PIT 45,0.0,7.0,"Tyjae Spears right tackle for 8 yards (tackle by Joey Porter). Penalty on Joey Porter: Face Mask (15 Yards), 15 yards (accepted)",2.59,4.11,9.0,2023,123
1.0,5:45,1.0,10.0,PIT 22,0.0,7.0,Will Levis pass complete short left to Derrick Henry for -1 yards (tackle by Elandon Roberts),4.11,3.43,9.0,2023,123
1.0,5:07,2.0,11.0,PIT 23,0.0,7.0,Tyjae Spears up the middle for 3 yards (tackle by Cameron Heyward),3.43,3.14,9.0,2023,123
1.0,4:20,3.0,8.0,PIT 20,0.0,7.0,"Will Levis sacked by Alex Highsmith for no gain. Penalty on Joey Porter: Defensive Offside, 5 yards (declined) . Penalty on Joey Porter: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.14,4.58,9.0,2023,123
1.0,4:05,1.0,10.0,PIT 15,0.0,7.0,DeAndre Hopkins scrambles right end for 5 yards (tackle by Larry Ogunjobi),4.58,4.84,9.0,2023,123
1.0,3:12,2.0,5.0,PIT 10,0.0,7.0,Will Levis pass incomplete short left intended for Derrick Henry,4.84,4.0,9.0,2023,123
1.0,3:09,3.0,5.0,PIT 10,0.0,7.0,"Will Levis sacked by T.J. Watt for -8 yards. Penalty on Nicholas Petit-Frere: Illegal Use of Hands / Offense, 5 yards (declined)",4.0,2.25,9.0,2023,123
1.0,2:52,4.0,13.0,PIT 18,3.0,7.0,Nick Folk 36 yard field goal good,2.25,3.0,9.0,2023,123
