Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Clayton Tune,ARI,0,0,0,0,0,9.0,2023,125
Keaontay Ingram,ARI,0,0,0,0,0,9.0,2023,125
Rondale Moore,ARI,2,1,5,0,5,9.0,2023,125
Tony Jones,ARI,3,2,5,0,4,9.0,2023,125
Marquise Brown,ARI,8,4,24,0,14,9.0,2023,125
Trey McBride,ARI,5,3,22,0,12,9.0,2023,125
Greg Dortch,ARI,1,1,2,0,2,9.0,2023,125
Zach Pascal,ARI,1,0,0,0,0,9.0,2023,125
Deshaun Watson,CLE,0,0,0,0,0,9.0,2023,125
Jerome Ford,CLE,7,5,33,0,17,9.0,2023,125
Kareem Hunt,CLE,1,0,0,0,0,9.0,2023,125
Pierre Strong,CLE,1,1,-7,0,-7,9.0,2023,125
Amari Cooper,CLE,5,5,139,1,59,9.0,2023,125
David Njoku,CLE,6,4,26,1,15,9.0,2023,125
Elijah Moore,CLE,2,2,14,0,11,9.0,2023,125
Jordan Akins,CLE,3,1,11,0,11,9.0,2023,125
Cedric Tillman,CLE,1,1,3,0,3,9.0,2023,125
Marquise Goodwin,CLE,2,0,0,0,0,9.0,2023,125
