Quarter,Time,Down,ToGo,Location,IND,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Panthers to receive the opening kickoff.",,,9.0,2023,132
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
1.0,15:00,1.0,10.0,CAR 25,0.0,0.0,Chuba Hubbard right guard for 4 yards (tackle by Samson Ebukam),0.61,0.6,9.0,2023,132
1.0,14:28,2.0,6.0,CAR 29,0.0,0.0,Miles Sanders left guard for 5 yards (tackle by Kwity Paye and Shaquille Leonard),0.6,0.56,9.0,2023,132
1.0,14:03,3.0,1.0,CAR 34,0.0,0.0,"Penalty on Bradley Bozeman: False Start, 4 yards (accepted) (no play)",0.56,0.04,9.0,2023,132
1.0,13:50,3.0,5.0,CAR 30,0.0,0.0,Bryce Young scrambles up the middle for 4 yards (tackle by Kenny Moore),0.04,-1.11,9.0,2023,132
1.0,13:08,4.0,1.0,CAR 34,0.0,0.0,"Johnny Hekker punts 50 yards, fair catch by Isaiah McKenzie at IND-16",-1.11,0.14,9.0,2023,132
1.0,13:00,1.0,10.0,IND 16,0.0,0.0,Gardner Minshew pass complete short left to Jonathan Taylor for 4 yards (tackle by Alex Cook and Jammie Robinson),-0.14,0.01,9.0,2023,132
1.0,12:21,2.0,6.0,IND 20,0.0,0.0,Jonathan Taylor right end for 5 yards (tackle by Brian Burns and Troy Hill),0.01,-0.2,9.0,2023,132
1.0,11:38,3.0,1.0,IND 25,0.0,0.0,"Gardner Minshew pass complete short left to Andrew Ogletree for no gain. Penalty on Quenton Nelson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.2,-0.82,9.0,2023,132
1.0,11:10,3.0,6.0,IND 20,0.0,0.0,"Penalty on Blake Freeland: False Start, 5 yards (accepted) (no play)",-0.82,-1.47,9.0,2023,132
1.0,10:57,3.0,11.0,IND 15,0.0,0.0,Gardner Minshew pass complete short right to Josh Downs for 10 yards (tackle by Frankie Luvu and Jammie Robinson),-1.47,-1.7,9.0,2023,132
1.0,10:20,4.0,1.0,IND 25,0.0,0.0,"Rigoberto Sanchez punts 56 yards, returned by Ihmir Smith-Marsette for no gain (tackle by Mo Alie-Cox and Luke Rhodes). Penalty on Dicaprio Bootle: Offensive Holding, 9 yards (accepted)",-1.7,0.38,9.0,2023,132
1.0,10:06,1.0,10.0,CAR 10,0.0,0.0,Bryce Young pass complete short left to Raheem Blackshear for 5 yards (tackle by Shaquille Leonard),-0.38,-0.35,9.0,2023,132
1.0,9:40,2.0,5.0,CAR 15,0.0,0.0,Chuba Hubbard left tackle for -4 yards (tackle by DeForest Buckner),-0.35,-1.3,9.0,2023,132
1.0,9:01,3.0,9.0,CAR 11,0.0,0.0,"Bryce Young pass complete short left to Chuba Hubbard for no gain. Chuba Hubbard fumbles, ball out of bounds at CAR-11 (forced by E.J. Speed). Chuba Hubbard fumbles out of bounds",-1.3,-2.49,9.0,2023,132
1.0,8:11,4.0,9.0,CAR 11,0.0,0.0,"Johnny Hekker punts 37 yards, recovered by Chandler Wooten at CAR-48",-2.49,2.13,9.0,2023,132
1.0,8:05,1.0,10.0,CAR 48,0.0,0.0,Chuba Hubbard up the middle for 9 yards (tackle by Shaquille Leonard and Julian Blackmon),2.13,2.8,9.0,2023,132
1.0,7:41,2.0,1.0,IND 43,0.0,0.0,Chuba Hubbard right guard for 2 yards (tackle by Tyquan Lewis),2.8,2.85,9.0,2023,132
1.0,7:15,1.0,10.0,IND 41,0.0,0.0,Bryce Young pass incomplete short right intended for Jonathan Mingo (defended by Darrell Baker),2.85,2.31,9.0,2023,132
1.0,7:10,2.0,10.0,IND 41,0.0,0.0,Bryce Young pass incomplete short right intended for Stephen Sullivan,2.31,1.62,9.0,2023,132
1.0,7:05,3.0,10.0,IND 41,0.0,0.0,Bryce Young sacked by DeForest Buckner for -10 yards,1.62,-0.13,9.0,2023,132
1.0,6:21,4.0,20.0,CAR 49,0.0,0.0,"Johnny Hekker punts 43 yards, returned by Isaiah McKenzie for 10 yards (tackle by Stephen Sullivan)",-0.13,-0.04,9.0,2023,132
1.0,6:11,1.0,10.0,IND 18,0.0,0.0,Jonathan Taylor left guard for 4 yards (tackle by Derrick Brown and Frankie Luvu),0.04,0.14,9.0,2023,132
1.0,5:38,2.0,6.0,IND 22,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 5 yards (tackle by Donte Jackson),0.14,-0.02,9.0,2023,132
1.0,5:14,3.0,1.0,IND 27,0.0,0.0,Jonathan Taylor up the middle for no gain (tackle by Derrick Brown),-0.02,-1.57,9.0,2023,132
1.0,4:38,4.0,1.0,IND 27,0.0,0.0,"Rigoberto Sanchez punts, fair catch by Ihmir Smith-Marsette at CAR-26. Penalty on Eku Leota: Defensive Offside, 5 yards (accepted) (no play)",-1.57,1.07,9.0,2023,132
1.0,4:30,1.0,10.0,IND 32,0.0,0.0,Jonathan Taylor right guard for 13 yards (tackle by DJ Johnson and C.J. Henderson),1.07,1.93,9.0,2023,132
1.0,4:06,1.0,10.0,IND 45,0.0,0.0,Jonathan Taylor left guard for 3 yards (tackle by LaBryan Ray),1.93,1.79,9.0,2023,132
1.0,3:29,2.0,7.0,IND 48,0.0,0.0,Gardner Minshew pass complete short right to Jonathan Taylor for no gain (tackle by Jammie Robinson),1.79,1.09,9.0,2023,132
1.0,2:48,3.0,7.0,IND 48,0.0,0.0,"Gardner Minshew scrambles right end for 7 yards (tackle by Troy Hill). Penalty on Troy Hill: Unnecessary Roughness / Defense, 15 yards (accepted)",1.09,3.58,9.0,2023,132
1.0,2:22,1.0,10.0,CAR 30,0.0,0.0,Zack Moss left tackle for 5 yards (tackle by LaBryan Ray and Amare Barno),3.58,3.71,9.0,2023,132
1.0,1:42,2.0,5.0,CAR 25,0.0,0.0,Zack Moss up the middle for 8 yards (tackle by Frankie Luvu and DJ Johnson),3.71,4.44,9.0,2023,132
1.0,1:17,1.0,10.0,CAR 17,0.0,0.0,Zack Moss right guard for 5 yards (tackle by Shy Tuttle and Alex Cook),4.44,4.57,9.0,2023,132
1.0,0:39,2.0,6.0,CAR 12,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 10 yards (tackle by Donte Jackson),4.57,6.74,9.0,2023,132
1.0,0:08,1.0,2.0,CAR 2,0.0,0.0,Gardner Minshew up the middle for 1 yard (tackle by Frankie Luvu and Shy Tuttle),6.74,5.91,9.0,2023,132
2.0,15:00,2.0,1.0,CAR 1,0.0,0.0,Jonathan Taylor up the middle for -1 yards (tackle by Alex Cook and Xavier Woods),5.91,4.95,9.0,2023,132
2.0,14:17,3.0,2.0,CAR 2,0.0,0.0,"Penalty on Michael Pittman: False Start, 5 yards (accepted) (no play)",4.95,3.81,9.0,2023,132
2.0,14:02,3.0,7.0,CAR 7,0.0,0.0,Gardner Minshew pass incomplete short right,3.81,2.97,9.0,2023,132
2.0,13:55,4.0,7.0,CAR 7,3.0,0.0,Matt Gay 26 yard field goal good,2.97,3.0,9.0,2023,132
2.0,13:52,,,IND 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
2.0,13:52,1.0,10.0,CAR 25,3.0,0.0,Bryce Young sacked by and Eric Johnson for -10 yards and Kwity Paye for -10 yards,0.61,-1.43,9.0,2023,132
2.0,13:11,2.0,20.0,CAR 15,3.0,0.0,Bryce Young pass incomplete short left intended for Terrace Marshall (defended by DeForest Buckner),-1.43,-2.35,9.0,2023,132
2.0,13:07,3.0,20.0,CAR 15,3.0,0.0,Bryce Young pass complete short right to Hayden Hurst for 6 yards (tackle by Kenny Moore),-2.35,-1.96,9.0,2023,132
2.0,12:25,4.0,14.0,CAR 21,3.0,0.0,"Johnny Hekker punts 44 yards, returned by Isaiah McKenzie for 1 yard (tackle by Chandler Wooten)",-1.96,-1.33,9.0,2023,132
2.0,12:12,1.0,10.0,IND 36,3.0,0.0,Jonathan Taylor right tackle for 6 yards (tackle by Frankie Luvu),1.33,1.6,9.0,2023,132
2.0,11:49,2.0,4.0,IND 42,3.0,0.0,Jonathan Taylor right tackle for 2 yards (tackle by Brian Burns),1.6,1.16,9.0,2023,132
2.0,11:12,3.0,2.0,IND 44,3.0,0.0,Jonathan Taylor up the middle for 9 yards (tackle by Xavier Woods and Donte Jackson),1.16,2.46,9.0,2023,132
2.0,10:31,1.0,10.0,CAR 47,3.0,0.0,Gardner Minshew pass incomplete short right intended for Andrew Ogletree (defended by Derrick Brown),2.46,1.91,9.0,2023,132
2.0,10:27,2.0,10.0,CAR 47,3.0,0.0,Gardner Minshew pass complete deep right to Andrew Ogletree for 19 yards (tackle by Xavier Woods),1.91,3.71,9.0,2023,132
2.0,9:54,1.0,10.0,CAR 28,3.0,0.0,Gardner Minshew pass complete short right to Michael Pittman for 5 yards (tackle by Donte Jackson),3.71,3.84,9.0,2023,132
2.0,9:15,2.0,5.0,CAR 23,3.0,0.0,Jonathan Taylor left end for -2 yards (tackle by Brian Burns),3.84,2.87,9.0,2023,132
2.0,8:33,3.0,7.0,CAR 25,3.0,0.0,"Gardner Minshew pass incomplete short middle intended for Michael Pittman. Penalty on Xavier Woods: Unnecessary Roughness / Defense, 13 yards (accepted) (no play)",2.87,4.78,9.0,2023,132
2.0,8:27,1.0,10.0,CAR 12,3.0,0.0,Zack Moss left tackle for 2 yards (tackle by Frankie Luvu),4.78,4.45,9.0,2023,132
2.0,7:52,2.0,8.0,CAR 10,9.0,0.0,"Gardner Minshew pass complete short left to Jonathan Taylor for 10 yards, touchdown",4.45,7.0,9.0,2023,132
2.0,7:43,,,CAR 15,10.0,0.0,Matt Gay kicks extra point good,0.0,0.0,9.0,2023,132
2.0,7:43,,,IND 35,10.0,0.0,"Matt Gay kicks off 67 yards, returned by Raheem Blackshear for 46 yards (tackle by Adetomiwa Adebawore)",0.0,1.86,9.0,2023,132
2.0,7:35,1.0,10.0,CAR 44,10.0,0.0,Chuba Hubbard left tackle for 5 yards (tackle by Isaiah Land),1.86,1.99,9.0,2023,132
2.0,7:05,2.0,5.0,CAR 49,10.0,0.0,Chuba Hubbard right guard for 20 yards (tackle by Rodney Thomas and Darrell Baker),1.99,3.51,9.0,2023,132
2.0,6:29,1.0,10.0,IND 31,10.0,0.0,"Penalty on DeForest Buckner: Encroachment, 5 yards (accepted) (no play)",3.51,4.24,9.0,2023,132
2.0,6:25,1.0,5.0,IND 26,10.0,0.0,Chuba Hubbard left tackle for no gain (tackle by Kenny Moore),4.24,3.64,9.0,2023,132
2.0,5:44,2.0,5.0,IND 26,10.0,0.0,Bryce Young pass incomplete short right intended for Jonathan Mingo,3.64,2.94,9.0,2023,132
2.0,5:40,3.0,5.0,IND 26,10.0,0.0,Bryce Young scrambles up the middle for 6 yards (tackle by DeForest Buckner),2.94,4.24,9.0,2023,132
2.0,5:02,1.0,10.0,IND 20,10.0,0.0,Chuba Hubbard up the middle for no gain (tackle by Shaquille Leonard),4.24,3.69,9.0,2023,132
2.0,4:22,2.0,10.0,IND 20,10.0,0.0,Bryce Young pass incomplete short middle intended for Miles Sanders,3.69,3.01,9.0,2023,132
2.0,4:16,3.0,10.0,IND 20,10.0,0.0,Bryce Young pass complete short right to Adam Thielen for 3 yards (tackle by Julian Blackmon),3.01,2.31,9.0,2023,132
2.0,3:39,4.0,7.0,IND 17,10.0,3.0,Eddy Pineiro 35 yard field goal good,2.31,3.0,9.0,2023,132
2.0,3:34,,,CAR 35,10.0,3.0,"Eddy Pineiro kicks off 65 yards, touchback.. Penalty on Chris Lammons: Unsportsmanlike Conduct / Offense, 15 yards (offset) . Penalty on Sam Franklin: Unsportsmanlike Conduct / Defense, 15 yards (offset)",0.0,0.61,9.0,2023,132
2.0,3:34,1.0,10.0,IND 25,10.0,3.0,Zack Moss up the middle for 3 yards (tackle by DJ Johnson and LaBryan Ray),0.61,0.47,9.0,2023,132
2.0,2:57,2.0,7.0,IND 28,10.0,3.0,Gardner Minshew pass incomplete short middle intended for Andrew Ogletree (defended by Shy Tuttle),0.47,-0.23,9.0,2023,132
2.0,2:55,3.0,7.0,IND 28,10.0,3.0,"Penalty on Blake Freeland: False Start, 5 yards (accepted) (no play)",-0.23,-0.89,9.0,2023,132
2.0,2:55,3.0,12.0,IND 23,10.0,3.0,Gardner Minshew pass complete short right to Michael Pittman for 16 yards (tackle by Dicaprio Bootle),-0.89,1.53,9.0,2023,132
