Quarter,Time,Down,ToGo,Location,CHI,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,9.0,2023,129
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,129
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Tyson Bagent pass complete short middle to Darnell Mooney for 13 yards (tackle by Tyrann Mathieu),0.61,1.47,9.0,2023,129
1.0,14:17,1.0,10.0,CHI 38,0.0,0.0,Tyson Bagent pass complete short middle to D.J. Moore for 16 yards (tackle by Paulson Adebo),1.47,2.52,9.0,2023,129
1.0,13:58,1.0,10.0,NOR 46,0.0,0.0,Tyson Bagent pass incomplete short right,2.52,1.98,9.0,2023,129
1.0,13:56,2.0,10.0,NOR 46,0.0,0.0,D'Onta Foreman right tackle for 8 yards (tackle by Cameron Jordan and Demario Davis),1.98,2.35,9.0,2023,129
1.0,13:23,,,,,,Timeout #1 by Chicago Bears,,,9.0,2023,129
1.0,13:23,3.0,2.0,NOR 38,0.0,0.0,D'Onta Foreman right guard for 1 yard (tackle by Demario Davis),2.35,0.79,9.0,2023,129
1.0,12:54,4.0,1.0,NOR 37,0.0,0.0,Tyson Bagent scrambles right end for 5 yards (tackle by Marcus Maye),0.79,3.45,9.0,2023,129
1.0,12:23,1.0,10.0,NOR 32,0.0,0.0,D'Onta Foreman left tackle for 1 yard (tackle by Pete Werner),3.45,3.04,9.0,2023,129
1.0,11:44,2.0,9.0,NOR 31,0.0,0.0,D'Onta Foreman left end for 13 yards (tackle by Marshon Lattimore),3.04,4.37,9.0,2023,129
1.0,11:28,1.0,10.0,NOR 18,6.0,0.0,"Tyson Bagent pass complete deep right to Cole Kmet for 18 yards, touchdown",4.37,7.0,9.0,2023,129
1.0,11:21,,,NOR 15,7.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,9.0,2023,129
1.0,11:21,,,CHI 35,7.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,129
1.0,11:21,1.0,10.0,NOR 25,7.0,0.0,Derek Carr pass complete short middle to Chris Olave for 14 yards (tackle by Eddie Jackson),0.61,1.53,9.0,2023,129
1.0,10:49,1.0,10.0,NOR 39,7.0,0.0,Jamaal Williams left guard for 1 yard (tackle by Kyler Gordon and Jack Sanborn),1.53,1.12,9.0,2023,129
