Quarter,Time,Tm,Detail,MIN,ATL,week,year,game_id
1.0,7:06,Falcons,Younghoe Koo 52 yard field goal,0,3,9.0,2023,128
,2:20,Vikings,Greg Joseph 19 yard field goal,3,3,9.0,2023,128
2.0,14:04,Falcons,"Safety, Joshua Dobbs sacked in end zone by Calais Campbell",3,5,9.0,2023,128
,8:57,Falcons,Younghoe Koo 43 yard field goal,3,8,9.0,2023,128
,5:32,Falcons,Younghoe Koo 23 yard field goal,3,11,9.0,2023,128
,0:55,Vikings,Alexander Mattison 2 yard pass from Joshua Dobbs (Greg Joseph kick),10,11,9.0,2023,128
3.0,12:15,Falcons,Younghoe Koo 54 yard field goal,10,14,9.0,2023,128
,8:13,Vikings,Greg Joseph 32 yard field goal,13,14,9.0,2023,128
,6:54,Falcons,Jonnu Smith 60 yard pass from Taylor Heinicke (Younghoe Koo kick),13,21,9.0,2023,128
,2:20,Vikings,Joshua Dobbs 18 yard rush (Trishton Jackson pass from Joshua Dobbs),21,21,9.0,2023,128
4.0,14:18,Vikings,Greg Joseph 31 yard field goal,24,21,9.0,2023,128
,2:08,Falcons,Tyler Allgeier 5 yard rush (Younghoe Koo kick),24,28,9.0,2023,128
,0:22,Vikings,Brandon Powell 6 yard pass from Joshua Dobbs (Greg Joseph kick),31,28,9.0,2023,128
