Unnamed: 0,TEN,PIT,week,year,game_id
First Downs,23,22,9.0,2023,123
Rush-Yds-TDs,25-105-1,30-166-1,9.0,2023,123
Cmp-Att-Yd-TD-INT,22-39-262-0-1,19-30-160-1-0,9.0,2023,123
Sacked-Yards,4-27,0-0,9.0,2023,123
Net Pass Yards,235,160,9.0,2023,123
Total Yards,340,326,9.0,2023,123
Fumbles-Lost,0-0,0-0,9.0,2023,123
Turnovers,1,0,9.0,2023,123
Penalties-Yards,7-51,10-80,9.0,2023,123
Third Down Conv.,3-13,6-12,9.0,2023,123
Fourth Down Conv.,1-2,0-0,9.0,2023,123
Time of Possession,31:09,28:51,9.0,2023,123
