Unnamed: 0,MIA,KAN,week,year,game_id
First Downs,20,16,9.0,2023,124
Rush-Yds-TDs,21-117-1,24-93-0,9.0,2023,124
Cmp-Att-Yd-TD-INT,21-34-193-1-0,20-30-185-2-0,9.0,2023,124
Sacked-Yards,3-18,2-11,9.0,2023,124
Net Pass Yards,175,174,9.0,2023,124
Total Yards,292,267,9.0,2023,124
Fumbles-Lost,3-1,1-1,9.0,2023,124
Turnovers,1,1,9.0,2023,124
Penalties-Yards,6-45,9-69,9.0,2023,124
Third Down Conv.,3-12,3-10,9.0,2023,124
Fourth Down Conv.,0-1,0-0,9.0,2023,124
Time of Possession,30:24,29:36,9.0,2023,124
