Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,,9.0,2023,135
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 64 yards, returned by Trayveon Williams for 23 yards (tackle by Dorian Williams and Josh Norman)",0.0,0.54,9.0,2023,135
1.0,14:55,1.0,10.0,CIN 24,0.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 8 yards (tackle by Terrel Bernard),0.54,1.08,9.0,2023,135
1.0,14:21,2.0,2.0,CIN 32,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 15 yards (tackle by Jordan Poyer),1.08,2.06,9.0,2023,135
1.0,13:31,1.0,10.0,CIN 47,0.0,0.0,Trayveon Williams up the middle for 7 yards (tackle by Taron Johnson),2.06,2.46,9.0,2023,135
1.0,12:55,2.0,3.0,BUF 46,0.0,0.0,Trayveon Williams left tackle for 1 yard (tackle by Tyrel Dodson),2.46,1.88,9.0,2023,135
1.0,12:16,3.0,2.0,BUF 45,0.0,0.0,Joe Burrow pass complete short left to Tanner Hudson for 6 yards (tackle by Christian Benford and Tyrel Dodson),1.88,2.98,9.0,2023,135
1.0,11:35,1.0,10.0,BUF 39,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 18 yards (tackle by Christian Benford),2.98,4.17,9.0,2023,135
1.0,10:48,1.0,10.0,BUF 21,0.0,0.0,Joe Mixon right guard for 3 yards (tackle by Taron Johnson and Tyrel Dodson),4.17,4.04,9.0,2023,135
1.0,10:06,2.0,7.0,BUF 18,0.0,0.0,Joe Burrow pass complete short right to Irv Smith for 11 yards (tackle by Shaq Lawson),4.04,5.6,9.0,2023,135
1.0,9:23,1.0,7.0,BUF 7,0.0,6.0,"Joe Burrow pass complete short left to Irv Smith for 7 yards, touchdown",5.6,7.0,9.0,2023,135
1.0,9:18,,,BUF 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,9.0,2023,135
1.0,9:18,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 67 yards, returned by Ty Johnson for 17 yards (tackle by Chris Evans)",0.0,-0.22,9.0,2023,135
1.0,9:14,1.0,10.0,BUF 15,0.0,7.0,Josh Allen pass complete short right to Dalton Kincaid for 5 yards (tackle by Mike Hilton),-0.22,0.08,9.0,2023,135
1.0,8:45,2.0,5.0,BUF 20,0.0,7.0,Josh Allen pass incomplete short middle intended for Dalton Kincaid (defended by Daxton Hill),0.08,-0.76,9.0,2023,135
1.0,8:41,3.0,5.0,BUF 20,0.0,7.0,Josh Allen pass complete short middle to Stefon Diggs for 9 yards (tackle by Chidobe Awuzie),-0.76,0.87,9.0,2023,135
1.0,8:06,1.0,10.0,BUF 29,0.0,7.0,Josh Allen pass complete short left to Stefon Diggs for 34 yards (tackle by Logan Wilson),0.87,3.12,9.0,2023,135
1.0,7:23,1.0,10.0,CIN 37,0.0,7.0,Josh Allen pass complete deep right to Khalil Shakir for 22 yards (tackle by Mike Hilton),3.12,4.58,9.0,2023,135
1.0,6:39,1.0,10.0,CIN 15,0.0,7.0,Josh Allen pass complete short right to Dalton Kincaid for 13 yards (tackle by Germaine Pratt),4.58,6.74,9.0,2023,135
1.0,6:08,1.0,2.0,CIN 2,6.0,7.0,"Josh Allen scrambles right end for 2 yards, touchdown",6.74,7.0,9.0,2023,135
1.0,6:03,,,CIN 15,7.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,9.0,2023,135
1.0,6:03,,,BUF 35,7.0,7.0,"Penalty on Josh Allen: Taunting / Offense, 15 yards (accepted)",0.0,0.0,9.0,2023,135
1.0,6:03,,,BUF 20,7.0,7.0,"Tyler Bass kicks off 73 yards, returned by Trayveon Williams for 24 yards (tackle by Dorian Williams)",0.0,1.0,9.0,2023,135
1.0,5:54,1.0,10.0,CIN 31,7.0,7.0,"Joe Burrow pass incomplete short right intended for Ja'Marr Chase. Penalty on Tim Settle: Roughing the Passer, 15 yards (accepted) (no play)",1.0,1.99,9.0,2023,135
1.0,5:54,1.0,10.0,CIN 46,7.0,7.0,Joe Burrow pass complete short middle to Andrei Iosivas for 9 yards (tackle by Jordan Poyer),1.99,2.67,9.0,2023,135
1.0,5:08,2.0,1.0,BUF 45,7.0,7.0,Joe Mixon right guard for 3 yards (tackle by Linval Joseph),2.67,2.79,9.0,2023,135
1.0,4:25,1.0,10.0,BUF 42,7.0,7.0,Joe Mixon left end for no gain (tackle by Dane Jackson),2.79,2.24,9.0,2023,135
