Unnamed: 0,ARI,CLE,week,year,game_id
First Downs,7,17,9.0,2023,125
Rush-Yds-TDs,21-41-0,40-113-1,9.0,2023,125
Cmp-Att-Yd-TD-INT,11-20-58-0-2,19-30-219-2-0,9.0,2023,125
Sacked-Yards,7-41,1-6,9.0,2023,125
Net Pass Yards,17,213,9.0,2023,125
Total Yards,58,326,9.0,2023,125
Fumbles-Lost,1-1,0-0,9.0,2023,125
Turnovers,3,0,9.0,2023,125
Penalties-Yards,4-40,6-65,9.0,2023,125
Third Down Conv.,1-12,6-17,9.0,2023,125
Fourth Down Conv.,0-1,1-2,9.0,2023,125
Time of Possession,23:35,36:25,9.0,2023,125
