Quarter,Time,Tm,Detail,IND,CAR,week,year,game_id
2.0,13:52,Colts,Matt Gay 26 yard field goal,3,0,9.0,2023,132
,7:43,Colts,Jonathan Taylor 10 yard pass from Gardner Minshew II (Matt Gay kick),10,0,9.0,2023,132
,3:34,Panthers,Eddy Piñeiro 35 yard field goal,10,3,9.0,2023,132
,0:53,Colts,Matt Gay 57 yard field goal,13,3,9.0,2023,132
,0:20,Colts,Kenny Moore 49 yard interception return (Matt Gay kick),20,3,9.0,2023,132
3.0,4:34,Panthers,DJ Chark 5 yard pass from Bryce Young (Eddy Piñeiro kick),20,10,9.0,2023,132
4.0,13:40,Colts,Kenny Moore 66 yard interception return (Matt Gay kick),27,10,9.0,2023,132
,8:09,Panthers,Eddy Piñeiro 49 yard field goal,27,13,9.0,2023,132
