Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,9.0,2023,133
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,133
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Tony Pollard right guard for 2 yards (tackle by Josh Sweat and Jordan Davis),0.61,0.33,9.0,2023,133
1.0,14:29,2.0,8.0,DAL 27,0.0,0.0,Tony Pollard up the middle for 2 yards (tackle by Haason Reddick),0.33,-0.1,9.0,2023,133
1.0,13:53,3.0,6.0,DAL 29,0.0,0.0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb,-0.1,-1.44,9.0,2023,133
1.0,13:47,4.0,6.0,DAL 29,0.0,0.0,"Bryan Anger punts 52 yards, returned by Britain Covey for 4 yards (tackle by Hunter Luepke and Israel Mukuamu)",-1.44,-0.48,9.0,2023,133
1.0,13:37,1.0,10.0,PHI 23,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 6 yards (tackle by Donovan Wilson),0.48,0.74,9.0,2023,133
1.0,13:03,2.0,4.0,PHI 29,0.0,0.0,D'Andre Swift up the middle for -1 yards (tackle by Damone Clark),0.74,-0.1,9.0,2023,133
1.0,12:18,3.0,5.0,PHI 28,0.0,0.0,Jalen Hurts scrambles right end for 4 yards (tackle by Dorance Armstrong),-0.1,-1.24,9.0,2023,133
1.0,11:38,4.0,1.0,PHI 32,0.0,0.0,Jalen Hurts up the middle for 2 yards (tackle by Damone Clark),-1.24,1.2,9.0,2023,133
1.0,10:51,1.0,10.0,PHI 34,0.0,0.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,1.2,0.66,9.0,2023,133
1.0,10:41,2.0,10.0,PHI 34,0.0,0.0,D'Andre Swift left guard for 4 yards (tackle by Markquese Bell),0.66,0.5,9.0,2023,133
1.0,9:59,3.0,6.0,PHI 38,0.0,0.0,Jalen Hurts pass complete short right to Olamide Zaccheaus for 8 yards (tackle by Stephon Gilmore),0.5,1.99,9.0,2023,133
1.0,9:26,1.0,10.0,PHI 46,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 20 yards (tackle by Damone Clark and Markquese Bell),1.99,3.31,9.0,2023,133
1.0,8:41,1.0,10.0,DAL 34,0.0,0.0,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",3.31,2.98,9.0,2023,133
1.0,8:27,1.0,15.0,DAL 39,0.0,0.0,"Jalen Hurts sacked by Sam Williams for -8 yards. Jalen Hurts fumbles (forced by Sam Williams), recovered by Jalen Hurts at DAL-47",2.98,1.02,9.0,2023,133
1.0,7:42,2.0,23.0,DAL 47,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 8 yards (tackle by Markquese Bell),1.02,1.42,9.0,2023,133
1.0,7:05,3.0,15.0,DAL 39,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 12 yards (tackle by Stephon Gilmore),1.42,1.77,9.0,2023,133
1.0,6:24,4.0,3.0,DAL 27,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 15 yards,1.77,4.78,9.0,2023,133
1.0,5:52,1.0,10.0,DAL 12,0.0,6.0,"Kenneth Gainwell right end for 12 yards, touchdown",4.78,7.0,9.0,2023,133
1.0,5:46,,,DAL 15,0.0,6.0,"Penalty on PHI: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,9.0,2023,133
1.0,5:46,,,DAL 20,0.0,6.0,"Penalty on Tyler Steen: False Start, 5 yards (accepted) (no play)",0.0,0.0,9.0,2023,133
