Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Team_URL
Atlanta Falcons,17,530,327,3775,17,181,2007,6.1,1768,5.4,7.9,22,14.9,25,4.7,,,
Buffalo Bills,17,579,385,4306,29,199,2337,6.1,1969,5.1,8.1,29,13.3,31,5.4,,,
Carolina Panthers,17,586,350,3245,13,150,1801,5.1,1444,4.1,6.9,21,16.7,28,4.8,,,
Chicago Bears,17,513,321,3421,19,169,1700,5.3,1721,5.4,6.8,29,11.1,19,3.7,,,
Cincinnati Bengals,17,615,420,4257,27,208,1889,4.5,2368,5.6,6.0,20,21.0,30,4.9,,,
Cleveland Browns,17,624,355,4011,24,173,2158,6.1,1853,5.2,8.0,27,13.1,42,6.7,,,
Indianapolis Colts,17,574,355,3882,18,178,2019,5.7,1863,5.2,7.1,17,20.9,32,5.6,,,
Arizona Cardinals,17,555,355,3430,18,173,1752,4.9,1678,4.7,7.1,25,14.2,19,3.4,,,
Dallas Cowboys,17,614,428,4660,36,229,2617,6.1,2043,4.8,7.7,40,10.7,38,6.2,,,
Denver Broncos,17,513,337,3566,28,154,1497,4.4,2069,6.1,6.6,29,11.6,19,3.7,,,
Detroit Lions,17,606,408,4606,30,228,2450,6.0,2156,5.3,6.7,37,11.0,35,5.8,,,
Green Bay Packers,17,581,374,4210,32,211,2286,6.1,1924,5.1,8.3,29,12.9,29,5.0,,,
Houston Texans,17,592,372,4578,27,215,2602,7.0,1976,5.3,8.5,35,10.6,24,4.1,,,
Jacksonville Jaguars,17,620,412,4377,22,199,2446,5.9,1931,4.7,8.0,23,17.9,26,4.2,,,
Kansas City Chiefs,17,635,421,4383,28,216,1713,4.1,2670,6.3,6.2,31,13.6,44,6.9,,,
Miami Dolphins,17,566,393,4698,30,223,2471,6.3,2227,5.7,7.6,31,12.7,24,4.2,,,
Minnesota Vikings,17,631,424,4700,30,220,2779,6.6,1921,4.5,7.6,21,20.2,24,3.8,,,
New Orleans Saints,17,606,406,4225,28,199,2426,6.0,1799,4.4,8.0,25,16.2,23,3.8,,,
New England Patriots,17,557,351,3392,16,153,1539,4.4,1853,5.3,7.1,20,17.6,23,4.1,,,
New York Giants,17,518,338,3351,15,141,1752,5.2,1599,4.7,7.0,20,16.9,25,4.8,,,
New York Jets,17,601,356,3373,11,156,1592,4.5,1781,5.0,6.3,31,11.5,28,4.7,,,
Tennessee Titans,17,494,304,3512,14,158,1916,6.3,1596,5.3,9.1,23,13.2,24,4.9,,,
Philadelphia Eagles,17,563,369,4067,24,197,2281,6.2,1786,4.8,7.9,25,14.8,19,3.4,,,
Pittsburgh Steelers,17,506,323,3421,13,153,1671,5.2,1750,5.4,7.3,26,12.4,16,3.2,,,
Las Vegas Raiders,17,557,348,3666,20,182,2055,5.9,1611,4.6,7.6,22,15.8,21,3.8,,,
Los Angeles Rams,17,583,361,4300,26,206,2266,6.3,2034,5.6,7.5,17,21.2,36,6.2,,,
Baltimore Ravens,17,494,328,3881,27,180,2051,6.3,1830,5.6,8.2,29,11.3,26,5.3,,,
Los Angeles Chargers,17,632,409,4312,24,204,2155,5.3,2157,5.3,7.3,30,13.6,30,4.7,,,
Seattle Seahawks,17,575,371,4167,23,189,2148,5.8,2019,5.4,7.0,28,13.3,30,5.2,,,
San Francisco 49ers,17,491,336,4577,33,207,2368,7.0,2209,6.6,7.8,25,13.4,9,1.8,,,
Tampa Bay Buccaneers,17,568,364,4044,28,188,2103,5.8,1941,5.3,8.2,18,20.2,25,4.4,,,
Washington Commanders,17,636,407,4174,24,190,2081,5.1,2093,5.1,6.9,25,16.3,26,4.1,,,
