Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Rasheed Walker,T,74,100%,0,0%,6,25%,0,Packers,17.0,2023,256
Josh Myers,C,71,96%,0,0%,6,25%,0,Packers,17.0,2023,256
Zach Tom,T,66,89%,0,0%,6,25%,0,Packers,17.0,2023,256
Jordan Love,QB,66,89%,0,0%,0,0%,0,Packers,17.0,2023,256
Elgton Jenkins,G,62,84%,0,0%,0,0%,0,Packers,17.0,2023,256
Tucker Kraft,TE,61,82%,0,0%,11,46%,0,Packers,17.0,2023,256
Romeo Doubs,WR,56,76%,0,0%,0,0%,0,Packers,17.0,2023,256
Bo Melton,WR,49,66%,0,0%,1,4%,0,Packers,17.0,2023,256
Malik Heath,WR,46,62%,0,0%,3,13%,0,Packers,17.0,2023,256
Jon Runyan Jr.,G,42,57%,0,0%,6,25%,0,Packers,17.0,2023,256
Aaron Jones,RB,42,57%,0,0%,0,0%,0,Packers,17.0,2023,256
Ben Sims,TE,41,55%,0,0%,3,13%,0,Packers,17.0,2023,256
Sean Rhyan,G,39,53%,0,0%,0,0%,0,Packers,17.0,2023,256
Jayden Reed,WR,23,31%,0,0%,3,13%,0,Packers,17.0,2023,256
Patrick Taylor,RB,20,27%,0,0%,11,46%,0,Packers,17.0,2023,256
AJ Dillon,RB,12,16%,0,0%,0,0%,0,Packers,17.0,2023,256
Josiah Deguara,TE,11,15%,0,0%,13,54%,0,Packers,17.0,2023,256
Samori Toure,WR,9,12%,0,0%,1,4%,0,Packers,17.0,2023,256
Royce Newman,G,8,11%,0,0%,6,25%,0,Packers,17.0,2023,256
Yosh Nijman,T,8,11%,0,0%,6,25%,0,Packers,17.0,2023,256
Sean Clifford,QB,8,11%,0,0%,0,0%,0,Packers,17.0,2023,256
Jonathan Owens,SS,0,0%,53,100%,12,50%,0,Packers,17.0,2023,256
Carrington Valentine,CB,0,0%,53,100%,3,13%,0,Packers,17.0,2023,256
Quay Walker,LB,0,0%,53,100%,1,4%,0,Packers,17.0,2023,256
Corey Ballentine,CB,0,0%,53,100%,1,4%,0,Packers,17.0,2023,256
Darnell Savage Jr.,SS,0,0%,53,100%,0,0%,0,Packers,17.0,2023,256
Keisean Nixon,CB,0,0%,45,85%,5,21%,0,Packers,17.0,2023,256
Kenny Clark,DE,0,0%,43,81%,0,0%,0,Packers,17.0,2023,256
Eric Wilson,LB,0,0%,37,70%,17,71%,0,Packers,17.0,2023,256
Rashan Gary,LB,0,0%,34,64%,0,0%,0,Packers,17.0,2023,256
Devonte Wyatt,DE,0,0%,29,55%,3,13%,0,Packers,17.0,2023,256
Preston Smith,LB,0,0%,29,55%,0,0%,0,Packers,17.0,2023,256
Kingsley Enagbare,LB,0,0%,24,45%,10,42%,0,Packers,17.0,2023,256
Lukas Van Ness,LB,0,0%,19,36%,6,25%,0,Packers,17.0,2023,256
Tedarrell Slaton,NT,0,0%,17,32%,9,38%,0,Packers,17.0,2023,256
Isaiah McDuffie,LB,0,0%,15,28%,1,4%,0,Packers,17.0,2023,256
Karl Brooks,NT,0,0%,14,26%,6,25%,0,Packers,17.0,2023,256
Colby Wooden,DE,0,0%,10,19%,5,21%,0,Packers,17.0,2023,256
Anthony Johnson,FS,0,0%,2,4%,8,33%,0,Packers,17.0,2023,256
Kristian Welch,LB,0,0%,0,0%,18,75%,0,Packers,17.0,2023,256
Zayne Anderson,FS,0,0%,0,0%,13,54%,0,Packers,17.0,2023,256
Anders Carlson,K,0,0%,0,0%,13,54%,0,Packers,17.0,2023,256
Rudy Ford,FS,0,0%,0,0%,12,50%,0,Packers,17.0,2023,256
Robert Rochell,CB,0,0%,0,0%,12,50%,0,Packers,17.0,2023,256
Benny Sapp III,SS,0,0%,0,0%,10,42%,0,Packers,17.0,2023,256
Daniel Whelan,P,0,0%,0,0%,8,33%,0,Packers,17.0,2023,256
Matthew Orzech,LS,0,0%,0,0%,8,33%,0,Packers,17.0,2023,256
David Long,CB,0,0%,0,0%,1,4%,0,Packers,17.0,2023,256
