Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Aidan O'Connell,LVR,2,3,0,3,17.0,2023,246
Zamir White,LVR,20,71,0,9,17.0,2023,246
Brandon Bolden,LVR,2,6,0,4,17.0,2023,246
Ameer Abdullah,LVR,1,4,0,4,17.0,2023,246
Davante Adams,LVR,0,0,0,0,17.0,2023,246
Jakobi Meyers,LVR,0,0,0,0,17.0,2023,246
Tre Tucker,LVR,0,0,0,0,17.0,2023,246
Austin Hooper,LVR,0,0,0,0,17.0,2023,246
Gardner Minshew II,IND,2,3,0,4,17.0,2023,246
Jonathan Taylor,IND,21,96,1,15,17.0,2023,246
Trey Sermon,IND,5,32,0,27,17.0,2023,246
Tyler Goodson,IND,1,3,0,3,17.0,2023,246
Alec Pierce,IND,0,0,0,0,17.0,2023,246
Josh Downs,IND,0,0,0,0,17.0,2023,246
Michael Pittman Jr.,IND,0,0,0,0,17.0,2023,246
Will Mallory,IND,0,0,0,0,17.0,2023,246
Mo Alie-Cox,IND,0,0,0,0,17.0,2023,246
Kylen Granson,IND,0,0,0,0,17.0,2023,246
