Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Joe Burrow,CIN,1,2,0,2,8.0,2022,123
Joe Mixon,CIN,8,27,0,6,8.0,2022,123
Samaje Perine,CIN,1,7,0,7,8.0,2022,123
Tee Higgins,CIN,0,0,0,0,8.0,2022,123
Hayden Hurst,CIN,0,0,0,0,8.0,2022,123
Tyler Boyd,CIN,0,0,0,0,8.0,2022,123
Trenton Irwin,CIN,0,0,0,0,8.0,2022,123
Chris Evans,CIN,0,0,0,0,8.0,2022,123
Trent Taylor,CIN,0,0,0,0,8.0,2022,123
Mitchell Wilcox,CIN,0,0,0,0,8.0,2022,123
Mike Thomas,CIN,0,0,0,0,8.0,2022,123
Jacoby Brissett,CLE,6,12,1,4,8.0,2022,123
Amari Cooper,CLE,0,0,0,0,8.0,2022,123
Nick Chubb,CLE,23,101,2,21,8.0,2022,123
Kareem Hunt,CLE,11,42,0,15,8.0,2022,123
D'Ernest Johnson,CLE,4,17,0,7,8.0,2022,123
Donovan Peoples-Jones,CLE,0,0,0,0,8.0,2022,123
David Bell,CLE,0,0,0,0,8.0,2022,123
Michael Woods II,CLE,0,0,0,0,8.0,2022,123
