Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Kyler Murray,ARI,1,0,8.0,2022,115
Eno Benjamin,ARI,0,0,8.0,2022,115
Rondale Moore,ARI,0,0,8.0,2022,115
Darrel Williams,ARI,0,0,8.0,2022,115
DeAndre Hopkins,ARI,0,0,8.0,2022,115
Zach Ertz,ARI,0,0,8.0,2022,115
Greg Dortch,ARI,1,1,8.0,2022,115
A.J. Green,ARI,0,0,8.0,2022,115
Robbie Chosen,ARI,0,0,8.0,2022,115
Kirk Cousins,MIN,1,1,8.0,2022,115
Dalvin Cook,MIN,0,0,8.0,2022,115
Alexander Mattison,MIN,0,0,8.0,2022,115
Justin Jefferson,MIN,0,0,8.0,2022,115
Adam Thielen,MIN,0,0,8.0,2022,115
Irv Smith Jr.,MIN,0,0,8.0,2022,115
K.J. Osborn,MIN,0,0,8.0,2022,115
Johnny Mundt,MIN,0,0,8.0,2022,115
