Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Najee Harris,PIT,8,32,0,2,21,2.6,11,1.4,0,,8.0,2022,112
Kenny Pickett,PIT,7,37,0,4,36,5.1,1,0.1,0,,8.0,2022,112
Jaylen Warren,PIT,6,50,0,2,40,6.7,10,1.7,0,,8.0,2022,112
Steven Sims,PIT,2,21,0,1,21,10.5,0,0.0,0,,8.0,2022,112
Marcus Allen,PIT,1,4,0,1,4,4.0,0,0.0,0,,8.0,2022,112
Miles Sanders,PHI,9,78,1,4,71,7.9,7,0.8,0,,8.0,2022,112
Boston Scott,PHI,7,21,0,1,21,3.0,0,0.0,0,,8.0,2022,112
Jalen Hurts,PHI,2,10,0,0,10,5.0,0,0.0,0,,8.0,2022,112
Kenneth Gainwell,PHI,1,3,0,1,3,3.0,0,0.0,0,,8.0,2022,112
Gardner Minshew II,PHI,1,-1,0,0,-1,-1.0,0,0.0,0,,8.0,2022,112
