Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Daniel Jones,NYG,0,0,0,0,0,8.0,2022,121
Saquon Barkley,NYG,5,3,9,0,12,8.0,2022,121
Matt Breida,NYG,2,1,10,0,10,8.0,2022,121
Darius Slayton,NYG,6,5,66,0,21,8.0,2022,121
Tanner Hudson,NYG,5,3,58,0,27,8.0,2022,121
Wan'Dale Robinson,NYG,3,2,15,0,9,8.0,2022,121
Chris Myarick,NYG,1,1,10,0,10,8.0,2022,121
David Sills,NYG,2,1,5,0,5,8.0,2022,121
Marcus Johnson,NYG,6,1,3,0,3,8.0,2022,121
Lawrence Cager,NYG,1,0,0,0,0,8.0,2022,121
Geno Smith,SEA,0,0,0,0,0,8.0,2022,121
Kenneth Walker III,SEA,2,1,1,0,1,8.0,2022,121
Travis Homer,SEA,1,1,21,0,21,8.0,2022,121
Tyler Lockett,SEA,8,5,63,1,33,8.0,2022,121
D.K. Metcalf,SEA,10,6,55,1,15,8.0,2022,121
Marquise Goodwin,SEA,5,4,33,0,16,8.0,2022,121
Noah Fant,SEA,2,2,19,0,16,8.0,2022,121
Will Dissly,SEA,2,2,12,0,9,8.0,2022,121
Colby Parkinson,SEA,1,1,5,0,5,8.0,2022,121
D'Wayne Eskridge,SEA,2,1,3,0,3,8.0,2022,121
