Quarter,Time,Tm,Detail,PIT,PHI,week,year,game_id
1.0,9:23,Eagles,A.J. Brown 39 yard pass from Jalen Hurts (Jake Elliott kick),0,7,8.0,2022,112
,1:57,Steelers,Derek Watt 1 yard pass from Chase Claypool (Nick Sciba kick),7,7,8.0,2022,112
2.0,12:48,Eagles,A.J. Brown 27 yard pass from Jalen Hurts (Jake Elliott kick),7,14,8.0,2022,112
,6:21,Eagles,A.J. Brown 29 yard pass from Jalen Hurts (Jake Elliott kick),7,21,8.0,2022,112
,1:02,Steelers,Nick Sciba 38 yard field goal,10,21,8.0,2022,112
3.0,12:53,Eagles,Zach Pascal 34 yard pass from Jalen Hurts (Jake Elliott kick),10,28,8.0,2022,112
,5:55,Steelers,Nick Sciba 29 yard field goal,13,28,8.0,2022,112
4.0,12:40,Eagles,Miles Sanders 11 yard rush (Jake Elliott kick),13,35,8.0,2022,112
