Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Raiders to receive the opening kickoff.",,,8.0,2022,116
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,116
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs left end for 1 yard (tackle by Alontae Taylor),0.61,0.2,8.0,2022,116
1.0,14:21,2.0,9.0,LVR 26,0.0,0.0,Derek Carr pass complete short middle to Foster Moreau for -3 yards (tackle by Demario Davis and Cameron Jordan),0.2,-0.89,8.0,2022,116
1.0,13:36,3.0,12.0,LVR 23,0.0,0.0,Derek Carr pass incomplete deep left intended for Mack Hollins,-0.89,-1.83,8.0,2022,116
1.0,13:30,4.0,12.0,LVR 23,0.0,0.0,"AJ Cole punts 54 yards, returned by Rashid Shaheed for 10 yards (tackle by Jesper Horsted)",-1.83,-1.14,8.0,2022,116
1.0,13:20,1.0,10.0,NOR 33,0.0,0.0,Andy Dalton pass complete short left to Juwan Johnson for 6 yards (tackle by Divine Deablo and Anthony Averett),1.14,1.33,8.0,2022,116
1.0,12:47,2.0,5.0,NOR 39,0.0,0.0,Andy Dalton pass incomplete short right intended for Chris Olave (defended by Rock Ya-Sin),1.33,0.7,8.0,2022,116
1.0,12:43,3.0,4.0,NOR 39,0.0,0.0,Andy Dalton pass complete short right to Mark Ingram for 2 yards (tackle by Denzel Perryman),0.7,-0.65,8.0,2022,116
1.0,11:58,4.0,2.0,NOR 41,0.0,0.0,"Blake Gillikin punts 46 yards, returned by DJ Turner for 3 yards (tackle by Zack Baun)",-0.65,0.14,8.0,2022,116
1.0,11:48,1.0,10.0,LVR 16,0.0,0.0,Josh Jacobs right end for 6 yards (tackle by Pete Werner),-0.14,0.21,8.0,2022,116
1.0,11:08,2.0,5.0,LVR 22,0.0,0.0,Josh Jacobs left end for -3 yards (tackle by Kentavius Street),0.21,-0.95,8.0,2022,116
1.0,10:27,3.0,7.0,LVR 19,0.0,0.0,Derek Carr pass complete short middle to Mack Hollins for 13 yards (tackle by Paulson Adebo),-0.95,1.07,8.0,2022,116
1.0,9:47,1.0,10.0,LVR 32,0.0,0.0,Derek Carr pass incomplete short right intended for Jesper Horsted (defended by Alontae Taylor),1.07,0.53,8.0,2022,116
1.0,9:41,2.0,10.0,LVR 32,0.0,0.0,Josh Jacobs right guard for 16 yards (tackle by Tyrann Mathieu),0.53,2.13,8.0,2022,116
1.0,9:00,1.0,10.0,LVR 48,0.0,0.0,Derek Carr pass incomplete deep right intended for Keelan Cole,2.13,1.58,8.0,2022,116
1.0,8:53,2.0,10.0,LVR 48,0.0,0.0,Josh Jacobs left guard for no gain (tackle by Kentavius Street) (no play),1.58,0.91,8.0,2022,116
1.0,8:32,2.0,15.0,LVR 43,0.0,0.0,Derek Carr pass incomplete short left intended for Josh Jacobs,0.91,0.23,8.0,2022,116
1.0,8:27,3.0,15.0,LVR 43,0.0,0.0,Derek Carr pass incomplete deep left intended for Davante Adams,0.23,-0.52,8.0,2022,116
1.0,8:22,4.0,15.0,LVR 43,0.0,0.0,"AJ Cole punts 41 yards, fair catch by Rashid Shaheed at NO-16",-0.52,0.14,8.0,2022,116
1.0,8:15,1.0,10.0,NOR 16,0.0,0.0,Alvin Kamara right guard for 5 yards (tackle by Blake Martinez and Divine Deablo),-0.14,0.15,8.0,2022,116
1.0,7:41,2.0,5.0,NOR 21,0.0,0.0,Alvin Kamara right guard for -1 yards (tackle by Maxx Crosby),0.15,-0.82,8.0,2022,116
1.0,7:00,3.0,6.0,NOR 20,0.0,0.0,Andy Dalton pass complete short middle to Taysom Hill for 11 yards (tackle by Divine Deablo),-0.82,1.0,8.0,2022,116
1.0,6:20,1.0,10.0,NOR 31,0.0,0.0,Andy Dalton pass complete short left to Alvin Kamara for 8 yards (tackle by Kendal Vickers and Blake Martinez),1.0,1.54,8.0,2022,116
1.0,5:41,2.0,2.0,NOR 39,0.0,0.0,Taysom Hill left guard for 7 yards (tackle by Blake Martinez),1.54,1.99,8.0,2022,116
1.0,5:01,1.0,10.0,NOR 46,0.0,0.0,Andy Dalton pass complete deep left to Rashid Shaheed for 30 yards (tackle by Anthony Averett),1.99,3.97,8.0,2022,116
1.0,4:19,1.0,10.0,LVR 24,0.0,0.0,Taysom Hill pass complete short right to Alvin Kamara for 2 yards (tackle by Malcolm Koonce and Divine Deablo),3.97,3.7,8.0,2022,116
1.0,3:38,2.0,8.0,LVR 22,0.0,0.0,Andy Dalton pass complete short right to Alvin Kamara for 7 yards (tackle by Divine Deablo),3.7,4.17,8.0,2022,116
1.0,2:56,3.0,1.0,LVR 15,0.0,0.0,Taysom Hill right end for 7 yards (tackle by Trevon Moehrig),4.17,5.37,8.0,2022,116
1.0,2:13,1.0,8.0,LVR 8,0.0,0.0,Taysom Hill right end for 5 yards (tackle by Maxx Crosby and Duron Harmon),5.37,5.53,8.0,2022,116
1.0,1:36,2.0,3.0,LVR 3,0.0,6.0,"Alvin Kamara right guard for 3 yards, touchdown",5.53,7.0,8.0,2022,116
1.0,1:32,,,LVR 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,8.0,2022,116
1.0,1:32,,,NOR 35,0.0,7.0,"Wil Lutz kicks off 62 yards, returned by DJ Turner for 22 yards (tackle by Chase Hansen and Daniel Sorensen)",0.0,0.61,8.0,2022,116
1.0,1:27,1.0,10.0,LVR 25,0.0,7.0,Derek Carr pass complete short right to Foster Moreau for 12 yards (tackle by Paulson Adebo),0.61,1.4,8.0,2022,116
1.0,0:51,1.0,10.0,LVR 37,0.0,7.0,Derek Carr pass complete short right to Mack Hollins for 5 yards (tackle by Paulson Adebo),1.4,1.53,8.0,2022,116
1.0,0:15,2.0,5.0,LVR 42,0.0,7.0,Josh Jacobs right guard for 4 yards (tackle by Malcolm Roach and Paulson Adebo),1.53,1.36,8.0,2022,116
2.0,15:00,3.0,1.0,LVR 46,0.0,7.0,Davante Adams left end for -1 yards (tackle by Marcus Davenport),1.36,-0.39,8.0,2022,116
2.0,14:23,4.0,2.0,LVR 45,0.0,7.0,Matthias Farley right end for -3 yards (tackle by Paulson Adebo),-0.39,-2.79,8.0,2022,116
2.0,14:18,1.0,10.0,LVR 42,0.0,7.0,"Penalty on Brandon Bolden: Defensive Chop Block, 15 yards (accepted) (no play)",2.79,3.78,8.0,2022,116
2.0,14:18,1.0,10.0,LVR 27,0.0,7.0,Alvin Kamara left tackle for 1 yard (tackle by Maxx Crosby),3.78,3.37,8.0,2022,116
2.0,13:40,2.0,9.0,LVR 26,0.0,7.0,Andy Dalton pass incomplete deep right intended for Tre'Quan Smith,3.37,2.68,8.0,2022,116
2.0,13:34,3.0,9.0,LVR 26,0.0,7.0,Andy Dalton pass complete short right to Juwan Johnson for 8 yards (tackle by Amik Robertson and Divine Deablo),2.68,2.4,8.0,2022,116
2.0,12:47,,,,,,Timeout #1 by New Orleans Saints,,,8.0,2022,116
2.0,12:47,4.0,1.0,LVR 18,0.0,10.0,Wil Lutz 37 yard field goal good,2.4,3.0,8.0,2022,116
2.0,12:43,,,NOR 35,0.0,10.0,"Wil Lutz kicks off 63 yards, returned by Ameer Abdullah for 20 yards (tackle by J.T. Gray and Kevin White)",0.0,0.41,8.0,2022,116
2.0,12:38,1.0,10.0,LVR 22,0.0,10.0,Josh Jacobs up the middle for 1 yard (tackle by Payton Turner and Demario Davis),0.41,0.0,8.0,2022,116
2.0,11:58,2.0,9.0,LVR 23,0.0,10.0,Derek Carr pass complete short left to Foster Moreau for 7 yards (tackle by Pete Werner),0.0,0.23,8.0,2022,116
2.0,11:17,3.0,2.0,LVR 30,0.0,10.0,Derek Carr pass short middle (defended by Pete Werner) intended for Hunter Renfrow is intercepted by Tyrann Mathieu at LV-45 and returned for no gain (tackle by Mack Hollins),0.23,-2.59,8.0,2022,116
2.0,11:09,1.0,10.0,LVR 45,0.0,10.0,Andy Dalton pass complete short right to Alvin Kamara for 3 yards (tackle by Rock Ya-Sin),2.59,2.45,8.0,2022,116
2.0,10:31,2.0,7.0,LVR 42,0.0,10.0,Alvin Kamara left guard for 7 yards (tackle by Denzel Perryman),2.45,3.25,8.0,2022,116
2.0,9:54,1.0,10.0,LVR 35,0.0,10.0,Taysom Hill left end for 11 yards (tackle by Duron Harmon),3.25,3.97,8.0,2022,116
2.0,9:16,1.0,10.0,LVR 24,0.0,10.0,Alvin Kamara left guard for 5 yards (tackle by Maxx Crosby),3.97,4.12,8.0,2022,116
2.0,8:31,2.0,5.0,LVR 19,0.0,10.0,Andy Dalton pass complete short middle to Chris Olave for 8 yards (tackle by Anthony Averett),4.12,4.84,8.0,2022,116
2.0,7:47,1.0,10.0,LVR 11,0.0,10.0,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",4.84,4.34,8.0,2022,116
2.0,7:23,1.0,15.0,LVR 16,0.0,16.0,"Andy Dalton pass complete short middle to Alvin Kamara for 16 yards, touchdown",4.34,7.0,8.0,2022,116
2.0,7:15,,,LVR 15,0.0,17.0,Wil Lutz kicks extra point good,0.0,0.0,8.0,2022,116
