Unnamed: 0,MIA,DET,week,year,game_id
First Downs,27,22,8.0,2022,111
Rush-Yds-TDs,26-107-1,19-82-2,8.0,2022,111
Cmp-Att-Yd-TD-INT,29-36-382-3-0,27-37-321-1-0,8.0,2022,111
Sacked-Yards,2-13,1-10,8.0,2022,111
Net Pass Yards,369,311,8.0,2022,111
Total Yards,476,393,8.0,2022,111
Fumbles-Lost,1-1,0-0,8.0,2022,111
Turnovers,1,0,8.0,2022,111
Penalties-Yards,7-55,6-30,8.0,2022,111
Third Down Conv.,8-12,4-9,8.0,2022,111
Fourth Down Conv.,1-1,1-2,8.0,2022,111
Time of Possession,34:22,25:38,8.0,2022,111
