Unnamed: 0,WAS,IND,week,year,game_id
First Downs,20,15,8.0,2022,120
Rush-Yds-TDs,28-96-1,29-135-1,8.0,2022,120
Cmp-Att-Yd-TD-INT,23-31-279-1-1,17-23-201-0-0,8.0,2022,120
Sacked-Yards,2-13,2-12,8.0,2022,120
Net Pass Yards,266,189,8.0,2022,120
Total Yards,362,324,8.0,2022,120
Fumbles-Lost,0-0,2-2,8.0,2022,120
Turnovers,1,2,8.0,2022,120
Penalties-Yards,3-52,3-25,8.0,2022,120
Third Down Conv.,2-12,5-12,8.0,2022,120
Fourth Down Conv.,2-3,0-0,8.0,2022,120
Time of Possession,30:40,29:20,8.0,2022,120
