Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,,8.0,2022,123
1.0,15:00,,,CLE 35,0.0,0.0,"Cade York kicks off 67 yards, returned by Chris Evans for 16 yards (tackle by D'Anthony Bell)",0.0,-0.28,8.0,2022,123
1.0,14:56,1.0,10.0,CIN 14,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 8 yards (tackle by Martin Emerson) (no play),-0.28,0.53,8.0,2022,123
1.0,14:34,1.0,5.0,CIN 19,0.0,0.0,Joe Mixon left guard for 4 yards (tackle by Sione Takitaki and Martin Emerson),0.53,0.55,8.0,2022,123
1.0,14:00,2.0,1.0,CIN 23,0.0,0.0,Joe Mixon right guard for 2 yards (tackle by Grant Delpit),0.55,0.61,8.0,2022,123
1.0,13:22,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Martin Emerson),0.61,0.74,8.0,2022,123
1.0,12:42,2.0,5.0,CIN 30,0.0,0.0,Joe Burrow pass incomplete short left intended for Tyler Boyd,0.74,0.04,8.0,2022,123
1.0,12:38,3.0,5.0,CIN 30,0.0,0.0,Joe Burrow pass complete deep right to Chris Evans for 26 yards (tackle by Deion Jones),0.04,2.65,8.0,2022,123
1.0,12:23,1.0,10.0,CLE 44,0.0,0.0,Joe Burrow pass incomplete deep left intended for Tee Higgins,2.65,2.11,8.0,2022,123
1.0,12:18,2.0,10.0,CLE 44,0.0,0.0,Joe Burrow pass complete short right to Mitchell Wilcox for 3 yards (tackle by Greg Newsome),2.11,1.82,8.0,2022,123
1.0,11:33,3.0,7.0,CLE 41,0.0,0.0,Joe Burrow pass complete short right to Tyler Boyd for 14 yards (tackle by Martin Emerson),1.82,3.78,8.0,2022,123
1.0,10:51,1.0,10.0,CLE 27,0.0,0.0,Joe Burrow pass short left (defended by Myles Garrett) intended for Tee Higgins is intercepted by A.J. Green at CLE-16 and returned for no gain (tackle by Mike Thomas),3.78,0.14,8.0,2022,123
1.0,10:47,1.0,10.0,CLE 16,0.0,0.0,Nick Chubb right tackle for 6 yards (tackle by Zachary Carter),-0.14,0.28,8.0,2022,123
1.0,10:06,2.0,4.0,CLE 22,0.0,0.0,Jacoby Brissett pass complete short left to Michael Woods for 6 yards (tackle by Chidobe Awuzie),0.28,0.81,8.0,2022,123
1.0,9:31,1.0,10.0,CLE 28,0.0,0.0,Jacoby Brissett pass complete deep right to Donovan Peoples-Jones for 37 yards (tackle by Cam Taylor-Britt),0.81,3.25,8.0,2022,123
1.0,8:56,1.0,10.0,CIN 35,0.0,0.0,Nick Chubb right tackle for 1 yard (tackle by Sam Hubbard and B.J. Hill),3.25,2.84,8.0,2022,123
