Unnamed: 0,LVR,NOR,week,year,game_id
First Downs,13,22,8.0,2022,116
Rush-Yds-TDs,13-38-0,32-136-1,8.0,2022,116
Cmp-Att-Yd-TD-INT,23-39-173-0-1,23-31-231-2-0,8.0,2022,116
Sacked-Yards,4-28,0-0,8.0,2022,116
Net Pass Yards,145,231,8.0,2022,116
Total Yards,183,367,8.0,2022,116
Fumbles-Lost,0-0,0-0,8.0,2022,116
Turnovers,1,0,8.0,2022,116
Penalties-Yards,6-59,5-27,8.0,2022,116
Third Down Conv.,5-14,7-12,8.0,2022,116
Fourth Down Conv.,2-3,0-1,8.0,2022,116
Time of Possession,25:09,34:51,8.0,2022,116
