Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,8.0,2022,114
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass complete short right to Michael Gallup for 4 yards (tackle by Kindle Vildor),0.61,0.6,8.0,2022,114
1.0,14:46,2.0,6.0,DAL 29,0.0,0.0,Tony Pollard up the middle for 4 yards (tackle by Armon Watts),0.6,0.43,8.0,2022,114
1.0,14:18,3.0,2.0,DAL 33,0.0,0.0,Tony Pollard right tackle for 9 yards (tackle by Jaquan Brisker),0.43,1.73,8.0,2022,114
1.0,13:54,1.0,10.0,DAL 42,0.0,0.0,Dak Prescott pass complete short right to Dalton Schultz for 9 yards (tackle by Roquan Smith),1.73,2.4,8.0,2022,114
1.0,13:28,2.0,1.0,CHI 49,0.0,0.0,Tony Pollard right end for -5 yards (tackle by Nicholas Morrow),2.4,1.03,8.0,2022,114
1.0,12:50,3.0,6.0,DAL 46,0.0,0.0,Dak Prescott pass complete short right to Michael Gallup for 11 yards (tackle by Kindle Vildor),1.03,2.72,8.0,2022,114
1.0,12:21,1.0,10.0,CHI 43,0.0,0.0,"Penalty on DAL: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",2.72,2.39,8.0,2022,114
1.0,12:21,1.0,15.0,CHI 48,0.0,0.0,Tony Pollard left tackle for 17 yards (tackle by Eddie Jackson),2.39,3.51,8.0,2022,114
1.0,11:38,1.0,10.0,CHI 31,0.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 16 yards (tackle by Eddie Jackson),3.51,4.58,8.0,2022,114
1.0,11:06,1.0,10.0,CHI 15,0.0,0.0,Malik Davis right guard for 8 yards (tackle by Nicholas Morrow),4.58,5.41,8.0,2022,114
1.0,10:29,2.0,2.0,CHI 7,0.0,0.0,Dak Prescott pass incomplete short middle intended for Michael Gallup,5.41,4.68,8.0,2022,114
1.0,10:23,3.0,2.0,CHI 7,0.0,6.0,"Dak Prescott left end for 7 yards, touchdown",4.68,7.0,8.0,2022,114
1.0,10:18,,,CHI 15,0.0,7.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
1.0,10:18,,,DAL 35,0.0,7.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
1.0,10:18,1.0,10.0,CHI 25,0.0,7.0,Justin Fields pass incomplete deep right intended for Equanimeous St. Brown,0.61,0.06,8.0,2022,114
1.0,10:11,2.0,10.0,CHI 25,0.0,7.0,"Justin Fields pass complete short right to Dante Pettis for no gain (tackle by Donovan Wilson). Penalty on Dante Pettis: Offensive Pass Interference, 10 yards (accepted) (no play)",0.06,-1.43,8.0,2022,114
1.0,10:02,2.0,20.0,CHI 15,0.0,7.0,David Montgomery right end for 1 yard (tackle by DeMarcus Lawrence),-1.43,-2.14,8.0,2022,114
1.0,9:09,3.0,19.0,CHI 16,0.0,7.0,Justin Fields pass complete short right to David Montgomery for 9 yards (tackle by Dante Fowler),-2.14,-1.7,8.0,2022,114
1.0,8:37,4.0,10.0,CHI 25,0.0,7.0,"Trenton Gill punts 44 yards, fair catch by KaVontae Turpin at DAL-31",-1.7,-1.0,8.0,2022,114
1.0,8:31,1.0,10.0,DAL 31,0.0,7.0,Dak Prescott pass complete short left to Peyton Hendershot for 11 yards (tackle by Eddie Jackson),1.0,1.66,8.0,2022,114
1.0,8:09,1.0,10.0,DAL 41,0.0,7.0,Dak Prescott pass complete short middle to Dalton Schultz for 8 yards (tackle by Nicholas Morrow),1.66,2.34,8.0,2022,114
1.0,7:47,2.0,1.0,DAL 50,0.0,7.0,Dak Prescott pass complete short left to Peyton Hendershot for 4 yards (tackle by Jaquan Brisker),2.34,2.52,8.0,2022,114
1.0,7:22,1.0,10.0,CHI 46,0.0,7.0,Dak Prescott pass complete short middle to Dalton Schultz for 7 yards (tackle by Eddie Jackson and Jack Sanborn),2.52,2.92,8.0,2022,114
1.0,7:02,2.0,3.0,CHI 39,0.0,7.0,Dak Prescott pass complete short right to Michael Gallup for 17 yards (tackle by Kyler Gordon and Eddie Jackson),2.92,4.11,8.0,2022,114
1.0,6:35,1.0,10.0,CHI 22,0.0,7.0,CeeDee Lamb right end for 1 yard (tackle by Nicholas Morrow and Armon Watts),4.11,3.7,8.0,2022,114
