Unnamed: 0,CIN,CLE,week,year,game_id
First Downs,15,24,8.0,2022,123
Rush-Yds-TDs,10-36-0,44-172-3,8.0,2022,123
Cmp-Att-Yd-TD-INT,25-35-232-2-1,17-23-278-1-1,8.0,2022,123
Sacked-Yards,5-39,2-10,8.0,2022,123
Net Pass Yards,193,268,8.0,2022,123
Total Yards,229,440,8.0,2022,123
Fumbles-Lost,1-1,1-1,8.0,2022,123
Turnovers,2,2,8.0,2022,123
Penalties-Yards,2-6,6-56,8.0,2022,123
Third Down Conv.,4-10,8-13,8.0,2022,123
Fourth Down Conv.,0-1,0-0,8.0,2022,123
Time of Possession,23:15,36:45,8.0,2022,123
