Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Colts to receive the opening kickoff.",,,8.0,2022,120
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by John Ridgeway and Kamren Curl),0.61,0.33,8.0,2022,120
1.0,14:29,2.0,8.0,IND 27,0.0,0.0,Sam Ehlinger pass complete short right to Michael Pittman for 6 yards (tackle by Benjamin St-Juste),0.33,0.43,8.0,2022,120
1.0,13:53,3.0,2.0,IND 33,0.0,0.0,Sam Ehlinger pass incomplete short left intended for Jonathan Taylor (defended by Bobby McCain),0.43,-1.18,8.0,2022,120
1.0,13:47,4.0,2.0,IND 33,0.0,0.0,"Matt Haack punts 62 yards, returned by Dax Milne for 12 yards (tackle by Bobby Okereke)",-1.18,0.06,8.0,2022,120
1.0,13:36,1.0,10.0,WAS 17,0.0,0.0,Taylor Heinicke pass complete short left to Antonio Gibson for 16 yards (tackle by Grover Stewart),-0.06,1.14,8.0,2022,120
1.0,12:57,1.0,10.0,WAS 33,0.0,0.0,Antonio Gibson left end for 2 yards (tackle by Bobby Okereke and Rodney McLeod),1.14,0.86,8.0,2022,120
1.0,12:15,2.0,8.0,WAS 35,0.0,0.0,Antonio Gibson right end for 3 yards (tackle by Zaire Franklin),0.86,0.56,8.0,2022,120
1.0,11:38,3.0,5.0,WAS 38,0.0,0.0,Taylor Heinicke sacked by DeForest Buckner for -1 yards,0.56,-0.91,8.0,2022,120
1.0,11:03,4.0,6.0,WAS 37,0.0,0.0,"Tress Way punts 49 yards, fair catch by Keke Coutee at IND-14",-0.91,0.28,8.0,2022,120
1.0,10:55,1.0,10.0,IND 14,0.0,0.0,Sam Ehlinger pass complete short left to Kylen Granson for -2 yards (tackle by Bobby McCain),-0.28,-0.93,8.0,2022,120
1.0,10:16,2.0,12.0,IND 12,0.0,0.0,Sam Ehlinger pass complete short left to Nyheim Hines for 7 yards (tackle by Jamin Davis),-0.93,-0.8,8.0,2022,120
