Unnamed: 0,CHI,DAL,week,year,game_id
First Downs,22,24,8.0,2022,114
Rush-Yds-TDs,43-240-2,29-200-4,8.0,2022,114
Cmp-Att-Yd-TD-INT,18-24-156-2-0,21-27-250-2-1,8.0,2022,114
Sacked-Yards,4-25,1-8,8.0,2022,114
Net Pass Yards,131,242,8.0,2022,114
Total Yards,371,442,8.0,2022,114
Fumbles-Lost,1-1,0-0,8.0,2022,114
Turnovers,1,1,8.0,2022,114
Penalties-Yards,6-45,6-41,8.0,2022,114
Third Down Conv.,6-15,9-11,8.0,2022,114
Fourth Down Conv.,2-3,0-0,8.0,2022,114
Time of Possession,36:04,23:56,8.0,2022,114
