Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Ravens,6.0,11.24,2.26,8.98,0.0,-8.68,-10.74,-0.36,0.0,6.73,-3.66,5.55,8.21,-3.48,0.11,8.0,2022,109
Buccaneers,-6.0,8.68,10.74,0.36,0.0,-11.24,-2.26,-8.98,0.0,-6.73,-5.55,3.66,3.48,-8.21,-0.11,8.0,2022,109
