Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Steelers to receive the opening kickoff.",,,8.0,2022,112
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,112
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris right tackle for no gain (tackle by Jordan Davis and Marcus Epps),0.61,0.06,8.0,2022,112
1.0,14:33,2.0,10.0,PIT 25,0.0,0.0,Kenny Pickett scrambles up the middle for 1 yard (tackle by Javon Hargrave),0.06,-0.49,8.0,2022,112
1.0,13:51,3.0,9.0,PIT 26,0.0,0.0,Kenny Pickett sacked by Haason Reddick for -8 yards,-0.49,-2.24,8.0,2022,112
1.0,13:19,4.0,17.0,PIT 18,0.0,0.0,"Pressley Harvin punts 55 yards, returned by Britain Covey for 5 yards (tackle by Miles Boykin)",-2.24,-1.07,8.0,2022,112
1.0,13:09,1.0,10.0,PHI 32,0.0,0.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith,1.07,0.53,8.0,2022,112
1.0,13:04,2.0,10.0,PHI 32,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Ahkello Witherspoon),0.53,1.03,8.0,2022,112
1.0,12:37,3.0,1.0,PHI 41,0.0,0.0,Miles Sanders right end for 7 yards (tackle by Ahkello Witherspoon),1.03,2.13,8.0,2022,112
1.0,11:58,1.0,10.0,PHI 48,0.0,0.0,Miles Sanders left guard for 1 yard (tackle by Isaiahh Loudermilk),2.13,1.72,8.0,2022,112
1.0,11:37,2.0,9.0,PHI 49,0.0,0.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Cameron Sutton),1.72,1.02,8.0,2022,112
1.0,11:33,3.0,9.0,PHI 49,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Malik Reed and Minkah Fitzpatrick),1.02,0.33,8.0,2022,112
1.0,10:52,4.0,2.0,PIT 44,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Terrell Edmunds),0.33,2.98,8.0,2022,112
1.0,10:12,1.0,10.0,PIT 39,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for no gain (tackle by Ahkello Witherspoon and Arthur Maulet),2.98,2.44,8.0,2022,112
1.0,9:31,2.0,10.0,PIT 39,0.0,6.0,"Jalen Hurts pass complete deep middle to A.J. Brown for 39 yards, touchdown",2.44,7.0,8.0,2022,112
1.0,9:23,,,PIT 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,8.0,2022,112
1.0,9:23,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,112
1.0,9:23,1.0,10.0,PIT 25,0.0,7.0,Kenny Pickett pass complete short right to Derek Watt for 5 yards (tackle by Kyzir White),0.61,0.74,8.0,2022,112
