0,1,week,year,game_id
Won Toss,Bears (deferred),8.0,2022,114
Roof,retractable roof (open),8.0,2022,114
Surface,matrixturf,8.0,2022,114
Duration,3:07,8.0,2022,114
Attendance,93767,8.0,2022,114
Vegas Line,Dallas Cowboys -10.0,8.0,2022,114
Over/Under,42.5 (over),8.0,2022,114
