Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Bills to receive the opening kickoff.",,,8.0,2022,122
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,122
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Devin Singletary left guard for 6 yards (tackle by Quay Walker and Dean Lowry),0.61,0.87,8.0,2022,122
1.0,14:25,2.0,4.0,BUF 31,0.0,0.0,Josh Allen pass incomplete short left intended for Gabriel Davis (defended by Jaire Alexander),0.87,0.17,8.0,2022,122
1.0,14:18,3.0,4.0,BUF 31,0.0,0.0,Josh Allen pass incomplete intended for Gabriel Davis (defended by Jaire Alexander),0.17,-1.31,8.0,2022,122
1.0,14:11,4.0,4.0,BUF 31,0.0,0.0,"Sam Martin punts 44 yards, returned by Amari Rodgers for 3 yards (tackle by Siran Neal)",-1.31,-0.81,8.0,2022,122
1.0,14:02,1.0,10.0,GNB 28,0.0,0.0,Aaron Jones left guard for 2 yards (tackle by Damar Hamlin),0.81,0.53,8.0,2022,122
1.0,13:21,2.0,8.0,GNB 30,0.0,0.0,Aaron Jones up the middle for 6 yards (tackle by Matt Milano and Jordan Poyer),0.53,0.63,8.0,2022,122
1.0,12:42,3.0,2.0,GNB 36,0.0,0.0,Aaron Rodgers pass complete short right to Sammy Watkins for 3 yards,0.63,1.53,8.0,2022,122
1.0,11:55,1.0,10.0,GNB 39,0.0,0.0,Aaron Rodgers pass complete short left to AJ Dillon for 9 yards (tackle by Tremaine Edmunds),1.53,2.2,8.0,2022,122
1.0,11:09,2.0,1.0,GNB 48,0.0,0.0,Aaron Rodgers pass complete short right to Aaron Jones for 7 yards (tackle by Tremaine Edmunds and Jordan Poyer),2.2,2.59,8.0,2022,122
1.0,10:46,1.0,10.0,BUF 45,0.0,0.0,AJ Dillon up the middle for 2 yards (tackle by Tremaine Edmunds),2.59,2.31,8.0,2022,122
1.0,10:09,2.0,8.0,BUF 43,0.0,0.0,Aaron Rodgers sacked by Tim Settle for -7 yards,2.31,0.7,8.0,2022,122
1.0,9:30,3.0,15.0,BUF 50,0.0,0.0,Aaron Rodgers pass complete short middle to Christian Watson for 12 yards (tackle by Tremaine Edmunds),0.7,0.72,8.0,2022,122
1.0,8:50,4.0,3.0,BUF 38,0.0,0.0,Aaron Rodgers pass incomplete short left intended for Romeo Doubs,0.72,-1.53,8.0,2022,122
1.0,8:47,1.0,10.0,BUF 39,0.0,0.0,Devin Singletary right guard for 9 yards (tackle by Quay Walker),1.53,2.2,8.0,2022,122
1.0,8:08,2.0,1.0,BUF 48,0.0,0.0,Devin Singletary left tackle for 5 yards (tackle by Quay Walker and De'Vondre Campbell),2.2,2.46,8.0,2022,122
