Unnamed: 0,ARI,MIN,week,year,game_id
First Downs,25,25,8.0,2022,115
Rush-Yds-TDs,22-78-0,29-173-3,8.0,2022,115
Cmp-Att-Yd-TD-INT,31-44-326-3-2,24-36-232-2-0,8.0,2022,115
Sacked-Yards,4-29,3-24,8.0,2022,115
Net Pass Yards,297,208,8.0,2022,115
Total Yards,375,381,8.0,2022,115
Fumbles-Lost,2-1,1-1,8.0,2022,115
Turnovers,3,1,8.0,2022,115
Penalties-Yards,10-67,10-86,8.0,2022,115
Third Down Conv.,4-11,6-13,8.0,2022,115
Fourth Down Conv.,0-1,0-1,8.0,2022,115
Time of Possession,30:33,29:27,8.0,2022,115
