Quarter,Time,Down,ToGo,Location,MIA,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Lions to receive the opening kickoff.",,,8.0,2022,111
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,111
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,"Jared Goff pass complete short right to Jamaal Williams for 10 yards (tackle by Elandon Roberts). Penalty on Elandon Roberts: Taunting / Defense, 15 yards (accepted)",0.61,2.26,8.0,2022,111
1.0,14:37,1.0,10.0,DET 50,0.0,0.0,D'Andre Swift right end for 2 yards (tackle by Jaelan Phillips),2.26,1.98,8.0,2022,111
1.0,14:09,2.0,8.0,MIA 48,0.0,0.0,Jared Goff pass complete deep right to Kalif Raymond for 27 yards (tackle by Jevon Holland),1.98,4.17,8.0,2022,111
1.0,13:28,1.0,10.0,MIA 21,0.0,0.0,Jared Goff pass complete short right to James Mitchell for 14 yards (tackle by Jevon Holland),4.17,5.6,8.0,2022,111
1.0,13:03,1.0,7.0,MIA 7,0.0,6.0,"Jamaal Williams up the middle for 7 yards, touchdown",5.6,7.0,8.0,2022,111
1.0,12:59,,,MIA 15,0.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,8.0,2022,111
1.0,12:59,,,DET 35,0.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,111
1.0,12:59,1.0,10.0,MIA 25,0.0,7.0,Raheem Mostert right tackle for 12 yards (tackle by Jeff Okudah),0.61,1.4,8.0,2022,111
1.0,12:23,1.0,10.0,MIA 37,0.0,7.0,Tua Tagovailoa pass complete short left to Alec Ingold for 5 yards (tackle by Will Harris),1.4,1.53,8.0,2022,111
1.0,11:41,2.0,5.0,MIA 42,0.0,7.0,Chase Edmonds right end for 8 yards (tackle by Amani Oruwariye),1.53,2.26,8.0,2022,111
1.0,11:05,1.0,10.0,MIA 50,0.0,7.0,Tua Tagovailoa sacked by Malcolm Rodriguez for -8 yards,2.26,0.63,8.0,2022,111
1.0,10:18,2.0,18.0,MIA 42,0.0,7.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 4 yards (tackle by Juju Hughes),0.63,0.5,8.0,2022,111
1.0,9:37,3.0,14.0,MIA 46,0.0,7.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 10 yards (tackle by Alex Anzalone and Josh Paschal),0.5,0.33,8.0,2022,111
1.0,8:54,4.0,4.0,DET 44,0.0,7.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 9 yards (tackle by AJ Parker),0.33,3.25,8.0,2022,111
1.0,8:15,1.0,10.0,DET 35,0.0,7.0,"Tua Tagovailoa pass complete short middle to Braylon Sanders for 13 yards. Braylon Sanders fumbles (forced by Kerby Joseph), recovered by Malcolm Rodriguez at DET-20 and returned for 2 yards (tackle by Alec Ingold)",3.25,-0.41,8.0,2022,111
1.0,8:07,1.0,10.0,DET 22,0.0,7.0,Jamaal Williams up the middle for 3 yards (tackle by Raekwon Davis),0.41,0.27,8.0,2022,111
1.0,7:37,2.0,7.0,DET 25,0.0,7.0,Jared Goff pass complete short left to Josh Reynolds for 5 yards (tackle by Kader Kohou),0.27,0.23,8.0,2022,111
1.0,6:57,3.0,2.0,DET 30,0.0,7.0,Jared Goff pass complete deep left to T.J. Hockenson for 58 yards (tackle by Verone McKinley),0.23,4.78,8.0,2022,111
1.0,6:23,1.0,10.0,MIA 12,0.0,7.0,Craig Reynolds right tackle for 5 yards (tackle by Jevon Holland and John Jenkins),4.78,5.02,8.0,2022,111
1.0,5:46,2.0,5.0,MIA 7,0.0,7.0,Jared Goff pass incomplete short right intended for Kalif Raymond,5.02,4.16,8.0,2022,111
1.0,5:40,3.0,5.0,MIA 7,0.0,13.0,"Jared Goff pass complete short middle to D'Andre Swift for 7 yards, touchdown",4.16,7.0,8.0,2022,111
1.0,5:36,,,MIA 15,0.0,14.0,Michael Badgley kicks extra point good,0.0,0.0,8.0,2022,111
1.0,5:36,,,DET 35,0.0,14.0,"Jack Fox kicks off 58 yards, returned by Raheem Mostert for 13 yards (tackle by Josh Woods)",0.0,0.28,8.0,2022,111
1.0,5:32,1.0,10.0,MIA 20,0.0,14.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 24 yards (tackle by Will Harris),0.28,1.86,8.0,2022,111
1.0,4:55,1.0,10.0,MIA 44,0.0,14.0,Tua Tagovailoa pass complete short left to Mike Gesicki for 7 yards (tackle by Will Harris),1.86,2.26,8.0,2022,111
1.0,4:09,2.0,3.0,DET 49,0.0,14.0,"Raheem Mostert right tackle for 3 yards (tackle by Alex Anzalone and Will Harris). Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted) (no play)",2.26,0.91,8.0,2022,111
1.0,3:41,2.0,13.0,MIA 41,0.0,14.0,Tua Tagovailoa pass incomplete short middle intended for Mike Gesicki,0.91,0.23,8.0,2022,111
1.0,3:37,,,,,,Timeout #1 by Detroit Lions,,,8.0,2022,111
1.0,3:37,3.0,13.0,MIA 41,0.0,14.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 36 yards (tackle by AJ Parker and Amani Oruwariye),0.23,4.04,8.0,2022,111
1.0,2:54,1.0,10.0,DET 23,0.0,14.0,Raheem Mostert left end for 2 yards (tackle by AJ Parker),4.04,3.77,8.0,2022,111
1.0,2:22,2.0,8.0,DET 21,0.0,14.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 12 yards (tackle by Jeff Okudah),3.77,5.14,8.0,2022,111
1.0,1:38,1.0,9.0,DET 9,0.0,14.0,Raheem Mostert left end for -1 yards (tackle by Juju Hughes),5.14,4.19,8.0,2022,111
1.0,1:03,2.0,10.0,DET 10,0.0,14.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,4.19,3.13,8.0,2022,111
1.0,0:59,3.0,10.0,DET 10,0.0,14.0,"Tua Tagovailoa pass incomplete intended for Raheem Mostert. Penalty on Julian Okwara: Illegal Contact, 5 yards (accepted) (no play)",3.13,6.06,8.0,2022,111
1.0,0:55,1.0,5.0,DET 5,6.0,14.0,"Tua Tagovailoa pass complete to Jaylen Waddle for 5 yards, touchdown",6.06,7.0,8.0,2022,111
1.0,0:50,,,DET 15,7.0,14.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2022,111
1.0,0:50,,,MIA 35,7.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,111
1.0,0:50,1.0,10.0,DET 25,7.0,14.0,"Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown (defended by Jevon Holland) DET challenged the pass completion ruling, and the play was upheld.",0.61,0.06,8.0,2022,111
1.0,0:43,2.0,10.0,DET 25,7.0,14.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Elandon Roberts),0.06,0.17,8.0,2022,111
1.0,0:10,3.0,4.0,DET 31,7.0,14.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 21 yards (tackle by Noah Igbinoghene),0.17,2.39,8.0,2022,111
2.0,15:00,1.0,10.0,MIA 48,7.0,14.0,Jared Goff pass complete deep left to Kalif Raymond for 43 yards (tackle by Jevon Holland),2.39,6.06,8.0,2022,111
2.0,14:20,1.0,5.0,MIA 5,7.0,14.0,Jamaal Williams left tackle for 4 yards (tackle by Jevon Holland and Raekwon Davis),6.06,5.91,8.0,2022,111
2.0,13:49,2.0,1.0,MIA 1,7.0,20.0,"Jamaal Williams up the middle for 1 yard, touchdown. Penalty on Christian Wilkins: Neutral Zone Infraction, 5 yards (declined)",5.91,7.0,8.0,2022,111
2.0,13:46,,,MIA 15,7.0,21.0,Michael Badgley kicks extra point good,0.0,0.0,8.0,2022,111
2.0,13:46,,,DET 35,7.0,21.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,111
2.0,13:46,1.0,10.0,MIA 25,7.0,21.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 42 yards (tackle by Amani Oruwariye),0.61,3.38,8.0,2022,111
2.0,13:00,1.0,10.0,DET 33,7.0,21.0,Raheem Mostert left end for -1 yards (tackle by Derrick Barnes and Aidan Hutchinson),3.38,2.7,8.0,2022,111
2.0,12:21,2.0,11.0,DET 34,7.0,21.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 5 yards (tackle by Kerby Joseph),2.7,2.68,8.0,2022,111
2.0,11:35,3.0,6.0,DET 29,13.0,21.0,"Tua Tagovailoa pass complete to Jaylen Waddle for 29 yards, touchdown",2.68,7.0,8.0,2022,111
2.0,11:30,,,DET 15,14.0,21.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2022,111
2.0,11:30,,,MIA 35,14.0,21.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,111
2.0,11:30,1.0,10.0,DET 25,14.0,21.0,Jamaal Williams up the middle for 4 yards (tackle by Jerome Baker),0.61,0.6,8.0,2022,111
2.0,10:58,2.0,6.0,DET 29,14.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Jevon Holland and Melvin Ingram),0.6,1.27,8.0,2022,111
2.0,10:16,1.0,10.0,DET 35,14.0,21.0,Jamaal Williams left tackle for 7 yards (tackle by Justin Bethel and Elandon Roberts),1.27,1.67,8.0,2022,111
2.0,9:39,2.0,3.0,DET 42,14.0,21.0,"Jamaal Williams left end for 15 yards (tackle by Elandon Roberts). Penalty on Christian Wilkins: Defensive Offside, 5 yards (declined)",1.67,2.72,8.0,2022,111
2.0,9:17,1.0,10.0,MIA 43,14.0,21.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.72,2.18,8.0,2022,111
2.0,9:11,2.0,10.0,MIA 43,14.0,21.0,Jared Goff pass incomplete short right intended for Josh Reynolds (defended by Zach Sieler),2.18,1.49,8.0,2022,111
2.0,9:07,3.0,10.0,MIA 43,14.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Xavien Howard),1.49,3.51,8.0,2022,111
2.0,8:28,1.0,10.0,MIA 31,14.0,21.0,Jared Goff pass incomplete deep left intended for Josh Reynolds,3.51,2.97,8.0,2022,111
2.0,8:23,2.0,10.0,MIA 31,14.0,21.0,Jamaal Williams up the middle for no gain (tackle by Duke Riley),2.97,2.28,8.0,2022,111
2.0,7:46,3.0,10.0,MIA 31,14.0,21.0,Jared Goff pass complete short middle to Maurice Alexander for 7 yards (tackle by Xavien Howard),2.28,1.97,8.0,2022,111
2.0,7:07,4.0,3.0,MIA 24,14.0,24.0,Michael Badgley 42 yard field goal good,1.97,3.0,8.0,2022,111
2.0,7:02,,,DET 35,14.0,24.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,111
