Quarter,Time,Down,ToGo,Location,NWE,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Jets to receive the opening kickoff.",,,8.0,2022,117
1.0,15:00,,,NWE 35,0.0,0.0,"Jake Bailey kicks off 68 yards, returned by Braxton Berrios for 21 yards (tackle by Pierre Strong and Joshuah Bledsoe)",0.0,0.04,8.0,2022,117
1.0,14:56,1.0,10.0,NYJ 18,0.0,0.0,Michael Carter up the middle for 5 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),0.04,0.28,8.0,2022,117
1.0,14:20,2.0,5.0,NYJ 23,0.0,0.0,Zach Wilson pass incomplete short right intended for Michael Carter,0.28,-0.53,8.0,2022,117
1.0,14:16,3.0,5.0,NYJ 23,0.0,0.0,Zach Wilson pass incomplete deep left intended for Denzel Mims,-0.53,-1.83,8.0,2022,117
1.0,14:11,4.0,5.0,NYJ 23,0.0,0.0,Braden Mann punts 22 yards out of bounds,-1.83,-2.59,8.0,2022,117
1.0,14:05,1.0,10.0,NYJ 45,0.0,0.0,Mac Jones pass incomplete short left intended for DeVante Parker (defended by D.J. Reed),2.59,2.04,8.0,2022,117
1.0,14:02,2.0,10.0,NYJ 45,0.0,0.0,Damien Harris left guard for -1 yards (tackle by Quincy Williams),2.04,1.22,8.0,2022,117
1.0,13:24,3.0,11.0,NYJ 46,0.0,0.0,Mac Jones sacked by Carl Lawson for -2 yards,1.22,0.07,8.0,2022,117
1.0,12:49,4.0,13.0,NYJ 48,0.0,0.0,"Jake Bailey punts 40 yards, fair catch by Braxton Berrios at NYJ-8",0.07,0.38,8.0,2022,117
1.0,12:43,1.0,10.0,NYJ 8,0.0,0.0,James Robinson right tackle for 1 yard (tackle by Jalen Mills and Davon Godchaux),-0.38,-0.71,8.0,2022,117
1.0,11:59,2.0,9.0,NYJ 9,0.0,0.0,Zach Wilson pass complete short right to Michael Carter for 4 yards (tackle by Josh Uche),-0.71,-0.84,8.0,2022,117
1.0,11:23,3.0,5.0,NYJ 13,0.0,0.0,Zach Wilson pass complete short left to Tyler Conklin for 16 yards (tackle by Jalen Mills and Devin McCourty),-0.84,0.87,8.0,2022,117
1.0,10:47,1.0,10.0,NYJ 29,0.0,0.0,Zach Wilson pass incomplete short left intended for Tyler Conklin,0.87,0.33,8.0,2022,117
1.0,10:43,2.0,10.0,NYJ 29,0.0,0.0,James Robinson left guard for 5 yards (tackle by Davon Godchaux and Matt Judon),0.33,0.3,8.0,2022,117
1.0,10:03,3.0,5.0,NYJ 34,0.0,0.0,Zach Wilson pass complete deep right to Garrett Wilson for 54 yards (tackle by Jalen Mills),0.3,4.78,8.0,2022,117
