Quarter,Time,Tm,Detail,CAR,ATL,week,year,game_id
1,6:50,Panthers,Eddy Piñeiro 37 yard field goal,3,0,8.0,2022,113
2,10:13,Falcons,Kyle Pitts 2 yard pass from Marcus Mariota (Younghoe Koo kick),3,7,8.0,2022,113
,4:51,Panthers,D'Onta Foreman 2 yard rush (Eddy Piñeiro kick),10,7,8.0,2022,113
,0:41,Falcons,Lorenzo Carter 28 yard interception return (Younghoe Koo kick),10,14,8.0,2022,113
3,11:33,Panthers,Eddy Piñeiro 42 yard field goal,13,14,8.0,2022,113
,1:40,Falcons,Tyler Allgeier 25 yard pass from Marcus Mariota (Younghoe Koo kick),13,21,8.0,2022,113
4,11:46,Panthers,D'Onta Foreman 1 yard rush (D'Onta Foreman run),21,21,8.0,2022,113
,7:33,Falcons,Younghoe Koo 30 yard field goal,21,24,8.0,2022,113
,3:06,Panthers,D'Onta Foreman 12 yard rush (Eddy Piñeiro kick),28,24,8.0,2022,113
,2:14,Falcons,Damiere Byrd 47 yard pass from Marcus Mariota (Younghoe Koo kick),28,31,8.0,2022,113
,0:36,Falcons,Younghoe Koo 34 yard field goal,28,34,8.0,2022,113
,0:12,Panthers,D.J. Moore 62 yard pass from P.J. Walker (Eddy Piñeiro kick failed),34,34,8.0,2022,113
OT,1:55,Falcons,Younghoe Koo 41 yard field goal,34,37,8.0,2022,113
