Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Titans to receive the opening kickoff.",,,8.0,2022,118
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,118
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry right guard for 2 yards (tackle by Derek Stingley),0.61,0.33,8.0,2022,118
1.0,14:22,2.0,8.0,TEN 27,0.0,0.0,Derrick Henry up the middle for 41 yards (tackle by Steven Nelson),0.33,3.45,8.0,2022,118
1.0,13:37,1.0,10.0,HOU 32,0.0,0.0,Malik Willis sacked by Jerry Hughes for -8 yards,3.45,1.82,8.0,2022,118
1.0,12:55,2.0,18.0,HOU 40,0.0,0.0,Derrick Henry right tackle for 3 yards (tackle by Jalen Pitre),1.82,1.55,8.0,2022,118
1.0,12:15,3.0,15.0,HOU 37,0.0,0.0,Malik Willis scrambles left end for 2 yards (tackle by Blake Cashman and Ogbonnia Okoronkwo),1.55,0.97,8.0,2022,118
1.0,11:34,4.0,13.0,HOU 35,0.0,0.0,"Penalty on HOU: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.97,1.41,8.0,2022,118
1.0,11:34,4.0,8.0,HOU 30,0.0,0.0,Randy Bullock 48 yard field goal no good,1.41,-1.47,8.0,2022,118
1.0,11:27,1.0,10.0,HOU 38,0.0,0.0,Davis Mills pass complete short right to O.J. Howard for no gain (tackle by Teair Tart),1.47,0.92,8.0,2022,118
1.0,10:47,2.0,10.0,HOU 38,0.0,0.0,Dameon Pierce right end for 11 yards (tackle by Roger McCreary),0.92,2.19,8.0,2022,118
1.0,10:10,1.0,10.0,HOU 49,0.0,0.0,Dameon Pierce right guard for 3 yards (tackle by Amani Hooker and Zach Cunningham),2.19,2.05,8.0,2022,118
1.0,9:30,2.0,7.0,TEN 48,0.0,0.0,Davis Mills pass complete short right to Brandin Cooks for 6 yards (tackle by Roger McCreary),2.05,2.15,8.0,2022,118
1.0,8:55,3.0,1.0,TEN 42,0.0,0.0,Dameon Pierce right tackle for 3 yards (tackle by Roger McCreary),2.15,2.98,8.0,2022,118
1.0,8:19,1.0,10.0,TEN 39,0.0,0.0,Davis Mills pass complete short left to Troy Hairston for 2 yards (tackle by Dylan Cole),2.98,2.71,8.0,2022,118
1.0,7:38,2.0,8.0,TEN 37,0.0,0.0,Davis Mills pass complete short right to Brevin Jordan for 3 yards (tackle by Kristian Fulton and David Long),2.71,2.41,8.0,2022,118
1.0,6:49,3.0,5.0,TEN 34,0.0,0.0,Davis Mills pass short left intended for Brevin Jordan is intercepted by Kristian Fulton at TEN-31 and returned for no gain (tackle by Brevin Jordan),2.41,-1.0,8.0,2022,118
1.0,6:46,1.0,10.0,TEN 31,0.0,0.0,Derrick Henry right tackle for 2 yards (tackle by Christian Kirksey),1.0,0.73,8.0,2022,118
1.0,6:11,2.0,8.0,TEN 33,0.0,0.0,Derrick Henry left guard for no gain (tackle by Jalen Pitre and Garret Wallow),0.73,0.04,8.0,2022,118
1.0,5:30,3.0,8.0,TEN 33,0.0,0.0,Malik Willis pass complete short middle to Chigoziem Okonkwo for 3 yards (tackle by Christian Harris),0.04,-0.98,8.0,2022,118
1.0,4:38,4.0,5.0,TEN 36,0.0,0.0,"Ryan Stonehouse punts 53 yards, returned by Desmond King for no gain (tackle by Dontrell Hilliard). Penalty on M.J. Stewart: Defensive Illegal Blindside Block, 15 yards (declined) . Penalty on Eric Murray: Defensive Illegal Blindside Block, 5 yards (accepted)",-0.98,0.38,8.0,2022,118
1.0,4:27,1.0,10.0,HOU 6,0.0,0.0,Dameon Pierce right tackle for no gain (tackle by Bud Dupree and Zach Cunningham),-0.38,-0.78,8.0,2022,118
1.0,3:50,2.0,10.0,HOU 6,0.0,0.0,Dameon Pierce right tackle for 2 yards (tackle by Teair Tart and Zach Cunningham),-0.78,-1.19,8.0,2022,118
1.0,3:06,3.0,8.0,HOU 8,0.0,0.0,Davis Mills pass incomplete short left intended for Brandin Cooks,-1.19,-2.49,8.0,2022,118
1.0,3:02,4.0,8.0,HOU 8,0.0,0.0,"Cameron Johnston punts 54 yards, returned by Robert Woods for 3 yards. Robert Woods fumbles (forced by Tremon Smith), recovered by Dare Ogunbowale at TEN-42 (tackle by Tremon Smith)",-2.49,2.79,8.0,2022,118
1.0,2:49,1.0,10.0,TEN 42,0.0,0.0,"Davis Mills pass complete short right to Dameon Pierce for 4 yards (tackle by Sam Okuayinonu). Penalty on Justin McCray: Illegal Blindside Block, 10 yards (accepted) (no play)",2.79,2.13,8.0,2022,118
1.0,2:24,1.0,20.0,HOU 48,0.0,0.0,Davis Mills pass incomplete short right intended for Brevin Jordan,2.13,0.89,8.0,2022,118
1.0,2:21,2.0,20.0,HOU 48,0.0,0.0,Dameon Pierce right guard for -3 yards (tackle by Jeffery Simmons),0.89,-0.16,8.0,2022,118
1.0,1:37,3.0,23.0,HOU 45,0.0,0.0,Davis Mills pass incomplete deep right intended for Brandin Cooks,-0.16,-0.39,8.0,2022,118
1.0,1:29,4.0,23.0,HOU 45,0.0,0.0,"Cameron Johnston punts 48 yards, fair catch by Robert Woods at TEN-7",-0.39,0.38,8.0,2022,118
1.0,1:22,1.0,10.0,TEN 7,0.0,0.0,"Derrick Henry left tackle for 13 yards (tackle by Jonathan Owens). Penalty on Nick Westbrook-Ikhine: Offensive Holding, 10 yards (accepted)",-0.38,-0.27,8.0,2022,118
1.0,0:55,1.0,7.0,TEN 10,0.0,0.0,"Penalty on Aaron Brewer: False Start, 5 yards (accepted) (no play)",-0.27,-0.46,8.0,2022,118
1.0,0:29,,,,,,Timeout #1 by Tennessee Titans,,,8.0,2022,118
1.0,0:29,1.0,12.0,TEN 5,0.0,0.0,Derrick Henry right guard for 2 yards (tackle by Kurt Hinish),-0.46,-0.78,8.0,2022,118
2.0,15:00,2.0,10.0,TEN 7,0.0,0.0,Malik Willis left guard for 1 yard (tackle by Steven Nelson),-0.78,-1.3,8.0,2022,118
