Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Kenny Pickett,PIT,7,37,0,11,8.0,2022,112
Najee Harris,PIT,8,32,0,18,8.0,2022,112
Chase Claypool,PIT,0,0,0,0,8.0,2022,112
Jaylen Warren,PIT,6,50,0,19,8.0,2022,112
Steven Sims,PIT,2,21,0,11,8.0,2022,112
Marcus Allen,PIT,1,4,0,4,8.0,2022,112
Pat Freiermuth,PIT,0,0,0,0,8.0,2022,112
Diontae Johnson,PIT,0,0,0,0,8.0,2022,112
Derek Watt,PIT,0,0,0,0,8.0,2022,112
Zach Gentry,PIT,0,0,0,0,8.0,2022,112
George Pickens,PIT,0,0,0,0,8.0,2022,112
Jalen Hurts,PHI,2,10,0,8,8.0,2022,112
Gardner Minshew II,PHI,1,-1,0,-1,8.0,2022,112
Miles Sanders,PHI,9,78,1,21,8.0,2022,112
Boston Scott,PHI,7,21,0,8,8.0,2022,112
Kenneth Gainwell,PHI,1,3,0,3,8.0,2022,112
A.J. Brown,PHI,0,0,0,0,8.0,2022,112
Dallas Goedert,PHI,0,0,0,0,8.0,2022,112
Zach Pascal,PHI,0,0,0,0,8.0,2022,112
DeVonta Smith,PHI,0,0,0,0,8.0,2022,112
Jack Stoll,PHI,0,0,0,0,8.0,2022,112
Quez Watkins,PHI,0,0,0,0,8.0,2022,112
