Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Broncos to receive the opening kickoff.",,,8.0,2022,110
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 58 yards, returned by Eric Saubert for 15 yards (tackle by Rayshawn Jenkins and Chad Muma)",0.0,0.41,8.0,2022,110
1.0,14:54,1.0,10.0,DEN 22,0.0,0.0,Russell Wilson pass incomplete short right intended for Courtland Sutton (defended by Darious Williams),0.41,-0.13,8.0,2022,110
1.0,14:50,2.0,10.0,DEN 22,0.0,0.0,Melvin Gordon left end for 4 yards (tackle by Josh Allen),-0.13,-0.29,8.0,2022,110
1.0,14:08,3.0,6.0,DEN 26,0.0,0.0,Russell Wilson sacked by Arden Key for -7 yards,-0.29,-2.14,8.0,2022,110
1.0,13:28,4.0,13.0,DEN 19,0.0,0.0,"Corliss Waitman punts 54 yards, fair catch by Christian Kirk at JAC-27",-2.14,-0.74,8.0,2022,110
1.0,13:28,1.0,10.0,JAX 27,0.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Justin Simmons),0.74,1.07,8.0,2022,110
1.0,12:53,2.0,3.0,JAX 33,0.0,0.0,"Penalty on Dre'Mont Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.07,1.47,8.0,2022,110
1.0,12:40,1.0,10.0,JAX 38,0.0,0.0,Trevor Lawrence scrambles right guard for 3 yards (tackle by Jonathon Cooper),1.47,1.33,8.0,2022,110
1.0,11:58,2.0,7.0,JAX 41,0.0,0.0,Travis Etienne up the middle for no gain (tackle by D.J. Jones and Justin Simmons),1.33,0.63,8.0,2022,110
1.0,11:25,3.0,7.0,JAX 41,0.0,0.0,Trevor Lawrence pass incomplete deep right intended for Evan Engram,0.63,-0.65,8.0,2022,110
1.0,11:19,4.0,7.0,JAX 41,0.0,0.0,"Logan Cooke punts 48 yards, returned by Montrell Washington for 6 yards (tackle by Andrew Wingard and Daniel Thomas)",-0.65,0.06,8.0,2022,110
1.0,11:08,1.0,10.0,DEN 17,0.0,0.0,Melvin Gordon right guard for 2 yards (tackle by Rayshawn Jenkins),-0.06,-0.25,8.0,2022,110
1.0,10:43,2.0,8.0,DEN 19,0.0,0.0,Russell Wilson pass deep left intended for Courtland Sutton is intercepted by Tyson Campbell at DEN-37 and returned for no gain (tackle by Courtland Sutton),-0.25,-3.12,8.0,2022,110
1.0,10:36,1.0,10.0,DEN 37,0.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Josey Jewell),3.12,3.38,8.0,2022,110
