Unnamed: 0,CAR,ATL,week,year,game_id
First Downs,23,21,8.0,2022,113
Rush-Yds-TDs,36-169-3,37-167-0,8.0,2022,113
Cmp-Att-Yd-TD-INT,19-36-317-1-1,20-28-253-3-2,8.0,2022,113
Sacked-Yards,1-8,2-14,8.0,2022,113
Net Pass Yards,309,239,8.0,2022,113
Total Yards,478,406,8.0,2022,113
Fumbles-Lost,0-0,1-0,8.0,2022,113
Turnovers,1,2,8.0,2022,113
Penalties-Yards,9-74,7-64,8.0,2022,113
Third Down Conv.,5-13,6-12,8.0,2022,113
Fourth Down Conv.,1-2,0-0,8.0,2022,113
Time of Possession,31:31,36:34,8.0,2022,113
