Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,,8.0,2022,113
1,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,113
1,15:00,1.0,10.0,ATL 25,0.0,0.0,Marcus Mariota pass incomplete short left intended for Kyle Pitts,0.61,0.06,8.0,2022,113
1,14:55,2.0,10.0,ATL 25,0.0,0.0,Marcus Mariota pass deep middle intended for Damiere Byrd is intercepted by Donte Jackson at CAR-20 and returned for no gain (tackle by Damiere Byrd),0.06,-0.28,8.0,2022,113
1,14:46,1.0,10.0,CAR 20,0.0,0.0,D'Onta Foreman left tackle for 7 yards (tackle by Mykal Walker),0.28,0.68,8.0,2022,113
1,14:14,2.0,3.0,CAR 27,0.0,0.0,P.J. Walker pass complete short right to Laviska Shenault for -1 yards (tackle by Grady Jarrett and Adetokunbo Ogundeji),0.68,-0.16,8.0,2022,113
1,13:31,3.0,4.0,CAR 26,0.0,0.0,"P.J. Walker pass incomplete short right intended for D.J. Moore. Penalty on Dean Marlowe: Face Mask (15 Yards), 15 yards (accepted) (no play)",-0.16,1.66,8.0,2022,113
1,13:26,1.0,10.0,CAR 41,0.0,0.0,D'Onta Foreman right tackle for 3 yards (tackle by Mykal Walker and Ta'Quon Graham),1.66,1.53,8.0,2022,113
1,12:48,2.0,7.0,CAR 44,0.0,0.0,P.J. Walker pass incomplete deep right intended for Tommy Tremble,1.53,0.83,8.0,2022,113
1,12:41,3.0,7.0,CAR 44,0.0,0.0,P.J. Walker pass incomplete deep middle intended for D.J. Moore,0.83,-0.46,8.0,2022,113
1,12:36,4.0,7.0,CAR 44,0.0,0.0,"Johnny Hekker punts 44 yards, fair catch by Avery Williams at ATL-12",-0.46,0.35,8.0,2022,113
1,12:28,1.0,10.0,ATL 12,0.0,0.0,Tyler Allgeier left end for 13 yards (tackle by Xavier Woods),-0.35,0.61,8.0,2022,113
1,11:48,1.0,10.0,ATL 25,0.0,0.0,Tyler Allgeier right tackle for 1 yard (tackle by Brian Burns and Derrick Brown),0.61,0.2,8.0,2022,113
1,11:03,2.0,9.0,ATL 26,0.0,0.0,Marcus Mariota sacked by and Yetur Gross-Matos for -1 yards and Derrick Brown for -1 yards,0.2,-0.62,8.0,2022,113
1,10:20,3.0,10.0,ATL 25,0.0,0.0,Marcus Mariota sacked by Frankie Luvu for -13 yards,-0.62,-2.49,8.0,2022,113
1,9:37,4.0,23.0,ATL 12,0.0,0.0,"Bradley Pinion punts 47 yards, returned by Shi Smith for 22 yards (tackle by Richie Grant)",-2.49,-3.12,8.0,2022,113
1,9:23,1.0,10.0,ATL 37,0.0,0.0,D'Onta Foreman left guard for 9 yards (tackle by Cornell Armstrong),3.12,3.79,8.0,2022,113
1,8:53,2.0,1.0,ATL 28,0.0,0.0,D'Onta Foreman left guard for 4 yards (tackle by Timmy Horne and Rashaan Evans),3.79,3.97,8.0,2022,113
1,8:18,1.0,10.0,ATL 24,0.0,0.0,P.J. Walker pass incomplete deep middle intended for D.J. Moore,3.97,3.43,8.0,2022,113
1,8:14,2.0,10.0,ATL 24,0.0,0.0,Raheem Blackshear left tackle for -2 yards (tackle by Grady Jarrett),3.43,2.48,8.0,2022,113
1,7:35,3.0,12.0,ATL 26,0.0,0.0,Spencer Brown left tackle for 7 yards (tackle by Mykal Walker and Ta'Quon Graham),2.48,2.24,8.0,2022,113
1,6:54,4.0,5.0,ATL 19,3.0,0.0,Eddy Pineiro 37 yard field goal good,2.24,3.0,8.0,2022,113
1,6:50,,,CAR 35,3.0,0.0,"Eddy Pineiro kicks off 65 yards, returned by Avery Williams for 17 yards (tackle by Giovanni Ricci). Penalty on Troy Andersen: Offensive Illegal Block Above the Waist, 9 yards (accepted)",0.0,-0.38,8.0,2022,113
1,6:43,1.0,10.0,ATL 8,3.0,0.0,Caleb Huntley left tackle for 3 yards (tackle by Brian Burns),-0.38,-0.56,8.0,2022,113
1,6:01,2.0,7.0,ATL 11,3.0,0.0,Marcus Mariota pass complete short right to Damiere Byrd for 12 yards (tackle by Juston Burris),-0.56,0.48,8.0,2022,113
1,5:17,1.0,10.0,ATL 23,3.0,0.0,Caleb Huntley left end for 5 yards (tackle by Shaq Thompson),0.48,0.61,8.0,2022,113
1,4:41,2.0,5.0,ATL 28,3.0,0.0,Marcus Mariota left end for 10 yards (tackle by Xavier Woods),0.61,1.47,8.0,2022,113
1,3:56,1.0,10.0,ATL 38,3.0,0.0,Tyler Allgeier left end for 4 yards (tackle by Yetur Gross-Matos and Derrick Brown),1.47,1.46,8.0,2022,113
1,3:18,2.0,6.0,ATL 42,3.0,0.0,Marcus Mariota pass complete short left to Avery Williams for -1 yards (tackle by Jaycee Horn),1.46,0.63,8.0,2022,113
1,2:32,3.0,7.0,ATL 41,3.0,0.0,Marcus Mariota pass incomplete short right intended for Kyle Pitts (defended by Keith Taylor),0.63,-0.65,8.0,2022,113
1,2:28,4.0,7.0,ATL 41,3.0,0.0,"Bradley Pinion punts 53 yards, returned by Shi Smith for 13 yards (tackle by Erik Harris)",-0.65,-0.15,8.0,2022,113
1,2:14,1.0,10.0,CAR 19,3.0,0.0,P.J. Walker pass incomplete deep right intended for D.J. Moore,0.15,-0.39,8.0,2022,113
