Unnamed: 0,PIT,PHI,week,year,game_id
First Downs,21,20,8.0,2022,112
Rush-Yds-TDs,24-144-0,20-111-1,8.0,2022,112
Cmp-Att-Yd-TD-INT,27-40-196-1-1,20-30-308-4-0,8.0,2022,112
Sacked-Yards,6-38,3-18,8.0,2022,112
Net Pass Yards,158,290,8.0,2022,112
Total Yards,302,401,8.0,2022,112
Fumbles-Lost,2-1,0-0,8.0,2022,112
Turnovers,2,0,8.0,2022,112
Penalties-Yards,9-60,8-60,8.0,2022,112
Third Down Conv.,1-12,7-12,8.0,2022,112
Fourth Down Conv.,4-4,1-1,8.0,2022,112
Time of Possession,34:18,25:42,8.0,2022,112
