Unnamed: 0,GNB,BUF,week,year,game_id
First Downs,21,20,8.0,2022,122
Rush-Yds-TDs,31-208-0,27-153-1,8.0,2022,122
Cmp-Att-Yd-TD-INT,19-30-203-2-1,13-25-218-2-2,8.0,2022,122
Sacked-Yards,2-13,2-2,8.0,2022,122
Net Pass Yards,190,216,8.0,2022,122
Total Yards,398,369,8.0,2022,122
Fumbles-Lost,0-0,1-0,8.0,2022,122
Turnovers,1,2,8.0,2022,122
Penalties-Yards,8-58,4-35,8.0,2022,122
Third Down Conv.,6-12,2-7,8.0,2022,122
Fourth Down Conv.,0-2,0-0,8.0,2022,122
Time of Possession,33:48,26:12,8.0,2022,122
