Unnamed: 0,SFO,LAR,week,year,game_id
First Downs,22,16,8.0,2022,119
Rush-Yds-TDs,23-111-1,21-56-1,8.0,2022,119
Cmp-Att-Yd-TD-INT,22-26-269-3-0,22-33-187-1-0,8.0,2022,119
Sacked-Yards,3-12,2-20,8.0,2022,119
Net Pass Yards,257,167,8.0,2022,119
Total Yards,368,223,8.0,2022,119
Fumbles-Lost,1-0,0-0,8.0,2022,119
Turnovers,0,0,8.0,2022,119
Penalties-Yards,3-8,4-50,8.0,2022,119
Third Down Conv.,5-9,8-13,8.0,2022,119
Fourth Down Conv.,0-0,0-0,8.0,2022,119
Time of Possession,29:56,30:04,8.0,2022,119
