Unnamed: 0,BAL,TAM,week,year,game_id
First Downs,27,20,8.0,2022,109
Rush-Yds-TDs,33-231-1,15-44-1,8.0,2022,109
Cmp-Att-Yd-TD-INT,27-38-238-2-0,26-44-325-1-0,8.0,2022,109
Sacked-Yards,3-16,3-20,8.0,2022,109
Net Pass Yards,222,305,8.0,2022,109
Total Yards,453,349,8.0,2022,109
Fumbles-Lost,0-0,1-1,8.0,2022,109
Turnovers,0,1,8.0,2022,109
Penalties-Yards,7-101,4-35,8.0,2022,109
Third Down Conv.,6-13,4-13,8.0,2022,109
Fourth Down Conv.,0-1,1-1,8.0,2022,109
Time of Possession,38:23,21:37,8.0,2022,109
