Unnamed: 0,NWE,NYJ,week,year,game_id
First Downs,19,17,8.0,2022,117
Rush-Yds-TDs,34-127-0,15-51-0,8.0,2022,117
Cmp-Att-Yd-TD-INT,24-35-194-1-1,20-41-355-2-3,8.0,2022,117
Sacked-Yards,6-33,2-19,8.0,2022,117
Net Pass Yards,161,336,8.0,2022,117
Total Yards,288,387,8.0,2022,117
Fumbles-Lost,1-0,0-0,8.0,2022,117
Turnovers,1,3,8.0,2022,117
Penalties-Yards,6-54,4-41,8.0,2022,117
Third Down Conv.,6-19,5-14,8.0,2022,117
Fourth Down Conv.,1-2,0-1,8.0,2022,117
Time of Possession,35:34,24:26,8.0,2022,117
