Unnamed: 0,NYG,SEA,week,year,game_id
First Downs,14,19,8.0,2022,121
Rush-Yds-TDs,28-78-1,25-87-1,8.0,2022,121
Cmp-Att-Yd-TD-INT,17-31-176-0-0,23-34-212-2-0,8.0,2022,121
Sacked-Yards,5-29,3-22,8.0,2022,121
Net Pass Yards,147,190,8.0,2022,121
Total Yards,225,277,8.0,2022,121
Fumbles-Lost,3-2,1-1,8.0,2022,121
Turnovers,2,1,8.0,2022,121
Penalties-Yards,6-53,3-25,8.0,2022,121
Third Down Conv.,6-16,3-13,8.0,2022,121
Fourth Down Conv.,0-1,2-2,8.0,2022,121
Time of Possession,33:34,26:26,8.0,2022,121
