Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Vikings to receive the opening kickoff.",,,8.0,2022,115
1.0,15:00,,,ARI 35,0.0,0.0,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,115
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,"Penalty on Leki Fotu: Encroachment, 5 yards (accepted) (no play)",0.61,1.34,8.0,2022,115
1.0,15:00,1.0,5.0,MIN 30,0.0,0.0,Dalvin Cook left guard for 3 yards (tackle by Budda Baker and Ben Niemann),1.34,1.14,8.0,2022,115
1.0,14:32,2.0,2.0,MIN 33,0.0,0.0,Kirk Cousins scrambles up the middle for 1 yard (tackle by Zaven Collins),1.14,0.56,8.0,2022,115
1.0,13:49,3.0,1.0,MIN 34,0.0,0.0,Kirk Cousins up the middle for 3 yards (tackle by Leki Fotu and Victor Dimukeje),0.56,1.4,8.0,2022,115
1.0,13:17,1.0,10.0,MIN 37,0.0,0.0,Dalvin Cook up the middle for 7 yards (tackle by Jalen Thompson),1.4,1.8,8.0,2022,115
1.0,12:34,2.0,3.0,MIN 44,0.0,0.0,Dalvin Cook left end for 5 yards (tackle by Antwaun Woods),1.8,2.19,8.0,2022,115
1.0,11:55,1.0,10.0,MIN 49,0.0,0.0,Kirk Cousins pass incomplete short left,2.19,1.65,8.0,2022,115
1.0,11:51,2.0,10.0,MIN 49,0.0,0.0,Kirk Cousins pass complete deep middle to Justin Jefferson for 28 yards (tackle by Isaiah Simmons),1.65,4.04,8.0,2022,115
1.0,11:08,1.0,10.0,ARI 23,0.0,0.0,Alexander Mattison left end for 6 yards (tackle by Marco Wilson),4.04,4.38,8.0,2022,115
1.0,10:26,2.0,4.0,ARI 17,0.0,0.0,Kirk Cousins pass incomplete short right,4.38,3.66,8.0,2022,115
1.0,10:20,3.0,4.0,ARI 17,0.0,6.0,"Kirk Cousins scrambles right end for 17 yards, touchdown",3.66,7.0,8.0,2022,115
