Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,8.0,2022,121
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 62 yards, returned by D'Wayne Eskridge for 26 yards (tackle by Elerson Smith)",0.0,0.87,8.0,2022,121
1.0,14:53,1.0,10.0,SEA 29,0.0,0.0,Kenneth Walker up the middle for 3 yards (tackle by Dexter Lawrence and Jaylon Smith),0.87,0.73,8.0,2022,121
1.0,14:22,2.0,7.0,SEA 32,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 6 yards (tackle by Adoree' Jackson),0.73,0.83,8.0,2022,121
1.0,13:48,3.0,1.0,SEA 38,0.0,0.0,Kenneth Walker up the middle for 4 yards (tackle by Leonard Williams),0.83,1.73,8.0,2022,121
1.0,13:10,1.0,10.0,SEA 42,0.0,0.0,Geno Smith pass incomplete short right intended for Kenneth Walker,1.73,1.19,8.0,2022,121
1.0,13:02,2.0,10.0,SEA 42,0.0,0.0,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Fabian Moreau),1.19,0.5,8.0,2022,121
1.0,12:58,3.0,10.0,SEA 42,0.0,0.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Fabian Moreau),0.5,-0.59,8.0,2022,121
1.0,12:52,4.0,10.0,SEA 42,0.0,0.0,"Michael Dickson punts 40 yards, returned by Richie James for 10 yards (tackle by Cody Barton)",-0.59,-0.81,8.0,2022,121
1.0,12:41,1.0,10.0,NYG 28,0.0,0.0,Daniel Jones pass complete short right to Darius Slayton for 6 yards (tackle by Michael Jackson),0.81,1.07,8.0,2022,121
1.0,12:17,2.0,4.0,NYG 34,0.0,0.0,Daniel Jones pass incomplete short right intended for Tanner Hudson,1.07,0.37,8.0,2022,121
1.0,12:10,3.0,4.0,NYG 34,0.0,0.0,Daniel Jones pass complete to Marcus Johnson for 3 yards (tackle by Ryan Neal),0.37,-0.91,8.0,2022,121
1.0,11:26,4.0,1.0,NYG 37,0.0,0.0,"Jamie Gillan punts 49 yards, fair catch by DeeJay Dallas at SEA-14",-0.91,0.28,8.0,2022,121
1.0,11:17,1.0,10.0,SEA 14,0.0,0.0,Kenneth Walker right end for 3 yards (tackle by Julian Love),-0.28,-0.37,8.0,2022,121
1.0,10:42,2.0,7.0,SEA 17,0.0,0.0,Geno Smith pass complete to Will Dissly for 9 yards (tackle by Xavier McKinney),-0.37,0.67,8.0,2022,121
1.0,10:02,1.0,10.0,SEA 26,0.0,0.0,Kenneth Walker right guard for 1 yard (tackle by Nick Williams),0.67,0.27,8.0,2022,121
1.0,9:49,2.0,9.0,SEA 27,0.0,0.0,Geno Smith pass complete short right to Kenneth Walker for 1 yard (tackle by Micah McFadden),0.27,-0.3,8.0,2022,121
1.0,8:57,3.0,8.0,SEA 28,0.0,0.0,Geno Smith pass incomplete short middle intended for D'Wayne Eskridge (defended by Adoree' Jackson),-0.3,-1.5,8.0,2022,121
1.0,8:53,4.0,8.0,SEA 28,0.0,0.0,"Michael Dickson punts 49 yards, returned by Richie James for 12 yards (tackle by Dareke Young and Travis Homer). Penalty on Cam Brown: Defensive Illegal Blindside Block, 15 yards (accepted)",-1.5,-0.28,8.0,2022,121
1.0,8:37,1.0,10.0,NYG 20,0.0,0.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 6 yards (tackle by Coby Bryant),0.28,0.54,8.0,2022,121
1.0,8:03,2.0,4.0,NYG 26,0.0,0.0,Daniel Jones sacked by Cody Barton for no gain,0.54,-0.16,8.0,2022,121
1.0,7:18,3.0,4.0,NYG 26,0.0,0.0,"Penalty on Tyre Phillips: False Start, 5 yards (accepted) (no play)",-0.16,-0.82,8.0,2022,121
1.0,6:59,3.0,9.0,NYG 21,0.0,0.0,Daniel Jones pass complete short left to Saquon Barkley for -3 yards (tackle by Ryan Neal),-0.82,-2.24,8.0,2022,121
1.0,6:19,4.0,12.0,NYG 18,0.0,0.0,"Jamie Gillan punts 49 yards, returned by DeeJay Dallas for 8 yards (tackle by Julian Love)",-2.24,-1.66,8.0,2022,121
1.0,6:05,1.0,10.0,SEA 41,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 13 yards (tackle by Jaylon Smith),1.66,2.52,8.0,2022,121
1.0,5:35,1.0,10.0,NYG 46,0.0,0.0,Geno Smith scrambles left guard for 3 yards (tackle by Tae Crowder),2.52,2.38,8.0,2022,121
1.0,4:53,2.0,7.0,NYG 43,0.0,0.0,Kenneth Walker right tackle for 2 yards (tackle by Tae Crowder),2.38,1.95,8.0,2022,121
1.0,4:12,3.0,5.0,NYG 41,0.0,0.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Jihad Ward),1.95,0.53,8.0,2022,121
1.0,4:09,4.0,5.0,NYG 41,0.0,0.0,"Michael Dickson punts 41 yards, touchback.",0.53,-0.28,8.0,2022,121
1.0,4:00,1.0,10.0,NYG 20,0.0,0.0,Saquon Barkley up the middle for 3 yards (tackle by Bryan Mone and Cody Barton),0.28,0.14,8.0,2022,121
1.0,3:23,2.0,7.0,NYG 23,0.0,0.0,Daniel Jones pass incomplete deep right intended for Lawrence Cager,0.14,-0.56,8.0,2022,121
