Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Colts,-1.0,-0.42,8.06,-7.74,-7.54,-2.38,-5.93,3.55,4.58,2.42,-1.99,2.44,4.89,-4.78,1.86,8.0,2022,120
Commanders,1.0,2.38,5.93,-3.55,-4.58,0.42,-8.06,7.74,7.54,-2.42,-2.44,1.99,4.78,-4.89,-1.86,8.0,2022,120
