Quarter,Time,Tm,Detail,TEN,HOU,week,year,game_id
2.0,10:40,Texans,Ka'imi Fairbairn 43 yard field goal,0,3,8.0,2022,118
,4:20,Titans,Derrick Henry 29 yard rush (Randy Bullock kick),7,3,8.0,2022,118
3.0,6:31,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),14,3,8.0,2022,118
4.0,11:08,Titans,Randy Bullock 29 yard field goal,17,3,8.0,2022,118
,0:17,Texans,Dameon Pierce 3 yard pass from Davis Mills (Ka'imi Fairbairn kick),17,10,8.0,2022,118
