Quarter,Time,Tm,Detail,MIA,DET,week,year,game_id
1.0,12:59,Lions,Jamaal Williams 7 yard rush (Michael Badgley kick),0,7,8.0,2022,111
,5:36,Lions,D'Andre Swift 7 yard pass from Jared Goff (Michael Badgley kick),0,14,8.0,2022,111
,0:50,Dolphins,Jaylen Waddle 5 yard pass from Tua Tagovailoa (Jason Sanders kick),7,14,8.0,2022,111
2.0,13:46,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),7,21,8.0,2022,111
,11:30,Dolphins,Jaylen Waddle 29 yard pass from Tua Tagovailoa (Jason Sanders kick),14,21,8.0,2022,111
,7:02,Lions,Michael Badgley 42 yard field goal,14,24,8.0,2022,111
,2:06,Dolphins,Jason Sanders 45 yard field goal,17,24,8.0,2022,111
,0:00,Lions,Michael Badgley 26 yard field goal,17,27,8.0,2022,111
3.0,9:11,Dolphins,Alec Ingold 1 yard rush (Jason Sanders kick),24,27,8.0,2022,111
,0:12,Dolphins,Mike Gesicki 11 yard pass from Tua Tagovailoa (Jason Sanders kick),31,27,8.0,2022,111
