Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,year,week
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,,
1.0,Buffalo Bills,1.0,41.0,497.0,78.0,6.4,,0.0,29.0,33.0,46.0,389.0,2.0,0.0,8.3,18.0,31.0,108.0,3.0,3.5,9.0,5.0,38.0,2.0,66.7,0.0,21.93,2025,1
2.0,Baltimore Ravens,1.0,40.0,432.0,50.0,8.6,1.0,1.0,19.0,14.0,19.0,194.0,2.0,0.0,9.2,8.0,29.0,238.0,3.0,8.2,10.0,7.0,51.0,1.0,63.6,9.1,19.52,2025,1
3.0,Pittsburgh Steelers,1.0,34.0,271.0,54.0,5.0,,0.0,19.0,22.0,30.0,218.0,4.0,0.0,6.4,14.0,20.0,53.0,0.0,2.7,2.0,4.0,26.0,3.0,54.5,0.0,11.44,2025,1
4.0,Indianapolis Colts,1.0,33.0,418.0,70.0,6.0,,0.0,27.0,22.0,29.0,262.0,1.0,0.0,8.7,14.0,40.0,156.0,2.0,3.9,11.0,4.0,45.0,2.0,100.0,0.0,19.66,2025,1
5.0,New York Jets,1.0,32.0,394.0,62.0,6.4,1.0,1.0,23.0,16.0,22.0,212.0,1.0,0.0,9.2,9.0,39.0,182.0,3.0,4.7,13.0,7.0,74.0,1.0,60.0,0.0,10.83,2025,1
6.0,Minnesota Vikings,1.0,27.0,254.0,49.0,5.2,1.0,0.0,14.0,13.0,20.0,134.0,2.0,1.0,5.8,5.0,26.0,120.0,1.0,4.6,6.0,8.0,50.0,3.0,38.5,7.7,-6.4,2025,1
7.0,Los Angeles Chargers,1.0,27.0,394.0,62.0,6.4,,0.0,22.0,25.0,34.0,304.0,3.0,0.0,8.2,16.0,25.0,90.0,0.0,3.6,6.0,6.0,49.0,,62.5,0.0,11.87,2025,1
8.0,Green Bay Packers,1.0,27.0,266.0,47.0,5.7,,0.0,14.0,16.0,22.0,188.0,2.0,0.0,8.5,8.0,25.0,78.0,1.0,3.1,4.0,4.0,40.0,2.0,55.6,0.0,11.63,2025,1
9.0,Jacksonville Jaguars,1.0,26.0,378.0,63.0,6.0,1.0,0.0,19.0,19.0,31.0,178.0,1.0,1.0,5.7,9.0,32.0,200.0,1.0,6.3,10.0,11.0,93.0,,60.0,10.0,8.42,2025,1
10.0,Chicago Bears,1.0,24.0,317.0,63.0,5.0,1.0,1.0,20.0,21.0,35.0,198.0,1.0,0.0,5.4,10.0,26.0,119.0,1.0,4.6,7.0,12.0,127.0,3.0,25.0,8.3,-1.47,2025,1
11.0,Philadelphia Eagles,1.0,24.0,302.0,62.0,4.9,,0.0,20.0,19.0,23.0,144.0,0.0,0.0,6.0,6.0,38.0,158.0,3.0,4.2,14.0,9.0,110.0,,50.0,0.0,13.04,2025,1
12.0,Tampa Bay Buccaneers,1.0,23.0,260.0,56.0,4.6,,0.0,16.0,17.0,32.0,159.0,3.0,0.0,4.8,10.0,23.0,101.0,0.0,4.4,5.0,5.0,60.0,1.0,40.0,0.0,7.74,2025,1
13.0,Washington Commanders,1.0,21.0,432.0,65.0,6.6,,0.0,25.0,19.0,30.0,212.0,1.0,0.0,6.4,11.0,32.0,220.0,2.0,6.9,11.0,12.0,89.0,3.0,30.0,0.0,15.03,2025,1
14.0,Kansas City Chiefs,1.0,21.0,347.0,58.0,6.0,,0.0,18.0,24.0,39.0,249.0,1.0,0.0,6.1,9.0,17.0,98.0,1.0,5.8,8.0,10.0,71.0,1.0,62.5,0.0,8.2,2025,1
