Tm,G,Passing Cmp,Passing Att,Passing Yds,RPO Plays,RPO Yds,RPO PassAtt,RPO PassYds,RPO RushAtt,RPO RushYds,PlayAction PassAtt,PlayAction PassYds,Player_URL
Atlanta Falcons,17,257,415,2699,161,1172,120,922,41,250,90,712,
Buffalo Bills,16,361,574,4129,94,587,63,471,31,116,153,1235,
Carolina Panthers,17,267,457,2996,52,246,45,220,7,26,134,884,
Chicago Bears,17,223,377,2219,107,595,68,424,39,171,115,871,
Cincinnati Bengals,16,418,610,4240,79,523,59,437,20,86,95,619,
Cleveland Browns,17,335,540,3444,54,367,30,205,24,162,137,1103,
Indianapolis Colts,17,398,604,3432,75,496,43,341,32,155,113,685,
Arizona Cardinals,17,433,664,3626,126,921,92,783,34,138,113,840,
Dallas Cowboys,17,355,556,3736,62,438,46,342,16,96,142,1046,
Denver Broncos,17,345,571,3592,45,237,29,174,16,63,135,880,
Detroit Lions,17,383,588,4281,25,124,20,108,5,16,158,1445,
Green Bay Packers,17,364,563,3632,83,538,58,413,25,125,139,1057,
Houston Texans,17,352,579,3344,36,235,31,221,5,14,157,1105,
Jacksonville Jaguars,17,394,596,3959,66,470,57,434,9,36,146,1282,
Kansas City Chiefs,17,435,651,5062,108,790,86,692,22,98,148,1394,
Miami Dolphins,17,368,584,4511,112,944,97,847,15,97,199,1711,
Minnesota Vikings,17,448,672,4484,33,247,20,186,13,61,207,1381,
New Orleans Saints,17,338,512,3692,47,231,15,107,32,124,83,678,
New England Patriots,17,358,540,3536,35,239,26,193,9,46,108,1055,
New York Giants,17,346,520,3157,58,332,43,244,15,88,170,1003,
New York Jets,17,357,627,3723,59,502,55,485,4,17,121,874,
Tennessee Titans,17,285,456,2914,72,510,38,338,34,172,118,1219,
Philadelphia Eagles,17,350,536,4105,185,1498,136,1281,49,217,147,1192,
Pittsburgh Steelers,17,364,571,3411,64,325,40,231,24,94,100,602,
Las Vegas Raiders,17,359,586,3934,31,149,24,124,7,25,134,1095,
Los Angeles Rams,17,347,531,3108,35,252,24,205,11,47,153,1216,
Baltimore Ravens,17,300,488,3040,145,1097,95,709,50,388,135,955,
Los Angeles Chargers,17,485,711,4584,53,371,41,328,12,43,190,1435,
Seattle Seahawks,17,399,573,3934,42,309,34,278,8,31,141,1150,
San Francisco 49ers,17,338,512,3856,57,352,39,291,18,61,98,759,
Tampa Bay Buccaneers,17,499,751,4586,48,253,25,180,23,73,126,955,
Washington Commanders,17,344,554,3472,117,716,74,551,43,165,149,1087,
