Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
1.0,Buffalo Bills,1.0,33.0,46.0,71.7,389.0,2.0,4.3,,,51.0,8.6,9.4,11.9,389.0,112.0,1.0,5.0,2.1,8.3,9.1,1.0,1.0,28.12,2025,1
2.0,Las Vegas Raiders,1.0,24.0,34.0,70.6,333.0,1.0,2.9,1.0,2.9,38.0,10.6,9.9,15.1,333.0,102.8,4.0,29.0,10.5,8.8,8.1,,,16.72,2025,1
3.0,Los Angeles Chargers,1.0,25.0,34.0,73.5,304.0,3.0,8.8,,,33.0,9.4,11.1,12.7,304.0,131.7,3.0,14.0,8.1,8.2,9.8,,,18.12,2025,1
4.0,Atlanta Falcons,1.0,27.0,42.0,64.3,289.0,1.0,2.4,,,50.0,7.1,7.6,11.0,289.0,93.2,1.0,9.0,2.3,6.7,7.2,,,11.86,2025,1
5.0,Cleveland Browns,1.0,31.0,45.0,68.9,278.0,1.0,2.2,2.0,4.4,25.0,6.4,4.9,9.4,278.0,75.2,2.0,12.0,4.3,5.9,4.4,,,3.32,2025,1
6.0,New England Patriots,1.0,30.0,46.0,65.2,276.0,1.0,2.2,1.0,2.2,27.0,6.2,5.7,9.6,276.0,80.6,4.0,11.0,8.0,5.5,5.0,,,7.36,2025,1
7.0,San Francisco 49ers,1.0,26.0,35.0,74.3,265.0,2.0,5.7,2.0,5.7,45.0,7.9,6.5,10.7,265.0,92.2,1.0,12.0,2.8,7.4,6.0,1.0,1.0,16.23,2025,1
8.0,Indianapolis Colts,1.0,22.0,29.0,75.9,262.0,1.0,3.4,,,36.0,9.4,10.1,12.4,262.0,115.9,1.0,10.0,3.3,8.7,9.4,,,16.08,2025,1
9.0,Kansas City Chiefs,1.0,24.0,39.0,61.5,249.0,1.0,2.6,,,49.0,6.6,7.1,10.8,249.0,89.5,2.0,9.0,4.9,6.1,6.6,,,3.73,2025,1
10.0,Los Angeles Rams,1.0,21.0,29.0,72.4,224.0,1.0,3.4,,,36.0,8.4,9.1,11.7,224.0,109.1,3.0,21.0,9.4,7.0,7.6,,,7.74,2025,1
11.0,Pittsburgh Steelers,1.0,22.0,30.0,73.3,218.0,4.0,13.3,,,31.0,8.1,10.8,11.1,218.0,136.7,4.0,26.0,11.8,6.4,8.8,1.0,1.0,13.47,2025,1
12.0,Washington Commanders,1.0,19.0,30.0,63.3,212.0,1.0,3.3,,,34.0,7.8,8.4,12.3,212.0,98.3,3.0,21.0,9.1,6.4,7.0,,,4.43,2025,1
13.0,New York Jets,1.0,16.0,22.0,72.7,212.0,1.0,4.5,,,33.0,9.9,10.8,13.6,212.0,119.1,1.0,6.0,4.3,9.2,10.1,,,10.95,2025,1
14.0,New Orleans Saints,1.0,27.0,46.0,58.7,208.0,0.0,,,,21.0,4.7,4.7,7.9,208.0,70.4,1.0,6.0,2.1,4.4,4.4,,,-0.91,2025,1
15.0,Detroit Lions,1.0,31.0,39.0,79.5,200.0,1.0,2.6,1.0,2.6,32.0,5.8,5.1,7.3,200.0,88.6,4.0,25.0,9.3,4.7,4.1,,,2.92,2025,1
16.0,Chicago Bears,1.0,21.0,35.0,60.0,198.0,1.0,2.9,,,31.0,6.0,6.6,10.0,198.0,86.6,2.0,12.0,5.4,5.4,5.9,,,-1.9,2025,1
17.0,Baltimore Ravens,1.0,14.0,19.0,73.7,194.0,2.0,10.5,,,39.0,11.0,13.1,14.9,194.0,144.4,2.0,15.0,9.5,9.2,11.1,,,10.8,2025,1
18.0,Green Bay Packers,1.0,16.0,22.0,72.7,188.0,2.0,9.1,,,48.0,8.5,10.4,11.8,188.0,128.6,,,,8.5,10.4,,,13.0,2025,1
19.0,Dallas Cowboys,1.0,21.0,34.0,61.8,188.0,0.0,,,,32.0,5.5,5.5,9.0,188.0,76.6,,,,5.5,5.5,,,7.98,2025,1
20.0,Jacksonville Jaguars,1.0,19.0,31.0,61.3,178.0,1.0,3.2,1.0,3.2,24.0,5.7,4.9,9.4,178.0,74.4,,,,5.7,4.9,,,3.87,2025,1
21.0,Denver Broncos,1.0,25.0,40.0,62.5,166.0,1.0,2.5,2.0,5.0,22.0,4.4,2.7,7.0,166.0,60.0,1.0,10.0,2.4,4.0,2.3,,,-6.96,2025,1
22.0,Tampa Bay Buccaneers,1.0,17.0,32.0,53.1,159.0,3.0,9.4,,,30.0,5.2,7.1,9.8,159.0,99.3,1.0,8.0,3.0,4.8,6.6,1.0,1.0,6.95,2025,1
23.0,New York Giants,1.0,17.0,37.0,45.9,157.0,0.0,,,,25.0,4.5,4.5,9.9,157.0,59.3,2.0,11.0,5.1,4.0,4.0,,,-5.43,2025,1
