Unnamed: 0,MIN,BUF,week,year,game_id
First Downs,24,29,10.0,2022,139
Rush-Yds-TDs,25-147-2,27-175-2,10.0,2022,139
Cmp-Att-Yd-TD-INT,30-50-357-1-2,29-43-330-1-2,10.0,2022,139
Sacked-Yards,4-23,2-19,10.0,2022,139
Net Pass Yards,334,311,10.0,2022,139
Total Yards,481,486,10.0,2022,139
Fumbles-Lost,2-0,2-2,10.0,2022,139
Turnovers,2,4,10.0,2022,139
Penalties-Yards,7-64,7-64,10.0,2022,139
Third Down Conv.,7-17,7-13,10.0,2022,139
Fourth Down Conv.,3-5,0-1,10.0,2022,139
Time of Possession,35:02,33:46,10.0,2022,139
