Quarter,Time,Tm,Detail,HOU,NYG,week,year,game_id
1.0,7:51,Giants,Lawrence Cager 9 yard pass from Daniel Jones (Graham Gano kick),0,7,10.0,2022,142
2.0,11:27,Texans,Ka'imi Fairbairn 38 yard field goal,3,7,10.0,2022,142
3.0,12:33,Giants,Darius Slayton 54 yard pass from Daniel Jones (Graham Gano kick),3,14,10.0,2022,142
,8:06,Texans,Nico Collins 12 yard pass from Davis Mills (Ka'imi Fairbairn kick),10,14,10.0,2022,142
,2:21,Giants,Saquon Barkley 2 yard rush (Graham Gano kick),10,21,10.0,2022,142
4.0,2:22,Texans,Ka'imi Fairbairn 34 yard field goal,13,21,10.0,2022,142
,1:55,Giants,Graham Gano 49 yard field goal,13,24,10.0,2022,142
,0:07,Texans,Ka'imi Fairbairn 46 yard field goal,16,24,10.0,2022,142
