Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Texans to receive the opening kickoff.",,,10.0,2022,142
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 59 yards, returned by Tremon Smith for 32 yards (tackle by Julian Love and Gary Brightwell)",0.0,1.47,10.0,2022,142
1.0,14:54,1.0,10.0,HOU 38,0.0,0.0,Davis Mills pass incomplete short right intended for O.J. Howard,1.47,0.92,10.0,2022,142
1.0,14:51,2.0,10.0,HOU 38,0.0,0.0,Dameon Pierce left tackle for -1 yards (tackle by Henry Mondeaux and Dexter Lawrence),0.92,0.1,10.0,2022,142
1.0,14:04,3.0,11.0,HOU 37,0.0,0.0,Davis Mills sacked by and Dexter Lawrence for -12 yards and Jason Pinnock for -12 yards,0.1,-1.7,10.0,2022,142
1.0,13:24,4.0,23.0,HOU 25,0.0,0.0,"Cameron Johnston punts 45 yards, returned by Adoree' Jackson for 2 yards (tackle by Troy Hairston)",-1.7,-1.07,10.0,2022,142
1.0,13:13,1.0,10.0,NYG 32,0.0,0.0,Saquon Barkley right tackle for 3 yards (tackle by Christian Harris and Mario Addison),1.07,0.93,10.0,2022,142
1.0,12:46,2.0,7.0,NYG 35,0.0,0.0,Saquon Barkley right tackle for 5 yards (tackle by Jonathan Owens),0.93,0.89,10.0,2022,142
1.0,12:10,3.0,2.0,NYG 40,0.0,0.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 9 yards (tackle by Desmond King),0.89,2.19,10.0,2022,142
1.0,11:48,1.0,10.0,NYG 49,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 8 yards (tackle by Jalen Pitre),2.19,2.73,10.0,2022,142
1.0,11:26,2.0,2.0,HOU 43,0.0,0.0,Saquon Barkley left end for 1 yard (tackle by Christian Harris),2.73,2.15,10.0,2022,142
1.0,10:44,3.0,1.0,HOU 42,0.0,0.0,Saquon Barkley left tackle for 2 yards (tackle by Jake Hansen and Jalen Pitre),2.15,2.92,10.0,2022,142
1.0,10:05,1.0,10.0,HOU 40,0.0,0.0,Saquon Barkley right guard for -2 yards (tackle by Ogbonnia Okoronkwo),2.92,2.1,10.0,2022,142
