Unnamed: 0,SEA,TAM,week,year,game_id
First Downs,19,26,10.0,2022,138
Rush-Yds-TDs,14-39-0,44-161-1,10.0,2022,138
Cmp-Att-Yd-TD-INT,23-33-275-2-0,22-30-258-2-2,10.0,2022,138
Sacked-Yards,3-31,0-0,10.0,2022,138
Net Pass Yards,244,258,10.0,2022,138
Total Yards,283,419,10.0,2022,138
Fumbles-Lost,1-1,0-0,10.0,2022,138
Turnovers,1,2,10.0,2022,138
Penalties-Yards,6-46,4-40,10.0,2022,138
Third Down Conv.,1-9,10-15,10.0,2022,138
Fourth Down Conv.,2-2,0-0,10.0,2022,138
Time of Possession,23:05,36:55,10.0,2022,138
